place_category,beginning
basin,Mee
basin,Sch
basin,Zuid
basin,Veer
convex shoreline,Van 
elevation,Tri
populated place,Hei
populated place,Ter
populated place,Heu
populated place,Wei
populated place,Hol
populated place,Her
populated place,Ste
populated place,Sta
populated place,Mid
populated place,Roo
populated place,Win
populated place,Zwa
populated place,Lut
populated place,Hui
populated place,Maa
populated place,Wie
populated place,Hor
populated place,Hel
populated place,Spi
populated place,Zij
populated place,Wij
populated place,Str
populated place,Bri
populated place,Sto
populated place,Rhe
populated place,Mee
populated place,Gee
populated place,Bos
populated place,Vas
populated place,Blo
populated place,Ber
populated place,Pie
populated place,Vee
populated place,Zee
populated place,Bak
populated place,War
populated place,Bar
populated place,Kad
populated place,Kle
populated place,Hil
populated place,Lee
populated place,Hul
populated place,Bil
populated place,Ben
populated place,Din
populated place,Bla
populated place,Roe
populated place,Mon
populated place,Har
populated place,Mar
populated place,Kro
populated place,Hob
populated place,Put
populated place,Ech
populated place,Vle
populated place,Waa
populated place,Oude
populated place,Olde
populated place,Voor
populated place,Hoog
populated place,Sche
populated place,Zand
populated place,Heer
populated place,Baar
populated place,Zuid
populated place,Eext
populated place,Koll
populated place,Esch
populated place,Kraa
populated place,Rode
populated place,Nije
populated place,Hees
populated place,Lang
populated place,Brug
populated place,Over
populated place,Peel
populated place,Omme
populated place,Kuik
populated place,Bron
populated place,Haar
populated place,Braa
populated place,Will
populated place,Molen
populated place,Sint 
populated place,Noord
populated place,Korte
populated place,Papen
populated place,Schoo
populated place,Veldh
populated place,Eller
populated place,Wilde
populated place,Witte
populated place,Beers
populated place,Schaa
populated place,Groen
populated place,Gaste
populated place,Grauw
populated place,Beert
populated place,Ooster
populated place,Wester
populated place,Graven
populated place,Achter
populated place,Nieuwe
populated place,Vinken
stream,Sch
stream,Ver
stream,Geu
stream,Hoo
stream,Gro
stream,Run
stream,Noorde
