place_category,beginning
populated place,Car
populated place,Cal
populated place,Con
populated place,Bri
populated place,Can
populated place,Vic
populated place,Cam
populated place,Her
populated place,Der
populated place,Val
populated place,Com
populated place,Abu
populated place,Lug
populated place,Lin
populated place,Cas
populated place,Ber
populated place,Bon
populated place,Tri
populated place,Ani
populated place,Tar
populated place,Rat
populated place,Sal
populated place,Cori
populated place,Aqui
populated place,Duro
populated place,Trev
populated place,Sego
populated place,Turi
populated place,Novio
populated place,Baelo
populated place,Aball
populated place,Vindo
populated place,Caesar
populated place,Claudi
populated place,Augusto
populated place,Aurelia
populated place,Agrippin
