name,industry
Kühnsdorfer Einkaufsland Gesellscha,NOT RELEVANT
Bösmüller Print Management GesmbH &,NOT RELEVANT
WOJNAR Immobilien GmbH,NOT RELEVANT
LUISSER Transport GmbH,INDUSTRIALS
BRAJLOVIC GMBH,CONSUMER STAPLES
Cord Blood Center AT GmbH,HEALTH CARE
ROTH Handel & Bauhandwerkerservice,CONSUMER DISCRETIONARY
ÖSW Wohnbauvereinigung Gemeinn.,REAL ESTATE
Raststätten Betriebs GmbH,REAL ESTATE
Bellaria Privatstiftung,REAL ESTATE
Montagen für Tischlereiprodukte Ges,INDUSTRIALS
Land Niederösterreich Finanz- und B,INDUSTRIALS
Remus Innovation GmbH,CONSUMER DISCRETIONARY
UNDA Grundstückvermietungs Gesellsc,REAL ESTATE
Lechtaler Bergbahnen GmbH & Co KG,CONSUMER DISCRETIONARY
REK Beteiligungs GmbH,CONSUMER DISCRETIONARY
SPAR Finanz Service Ges.m.b.H.,CONSUMER STAPLES
Heidelberger Druckmaschinen Austria,INDUSTRIALS
G ENGLMAYER SPEDITION GMBH,INDUSTRIALS
Maschinenring Salzburg registrierte,CONSUMER DISCRETIONARY
Neudörfler Office Systems GmbH,INDUSTRIALS
Bergbahnen Nassfeld Pramollo AG,CONSUMER DISCRETIONARY
Dachs Fleischveredelung GmbH,CONSUMER STAPLES
BEST Institut für berufsbezogene We,CONSUMER DISCRETIONARY
Franz Gramiller & Sohn Ges.mbH,INDUSTRIALS
XXXLutz KG,CONSUMER DISCRETIONARY
MUREXIN GmbH,INDUSTRIALS
FLEISCHERVERBAND eGen,CONSUMER STAPLES
Rudolf Schmidhofer GmbH,INDUSTRIALS
Diedamskopf Alpin Tourismus GmbH &,CONSUMER DISCRETIONARY
AST Baugesellschaft mbH,INDUSTRIALS
Waldviertler Immobilientreuhand Gmb,NOT RELEVANT
FlightPro Aviation Limited,FINANCIALS
LELO Verwaltung GmbH,CONSUMER DISCRETIONARY
Health Consult Gesellschaft für Vor,INDUSTRIALS
Maschinenring Service Steiermark eG,CONSUMER DISCRETIONARY
PKE Holding AG,INDUSTRIALS
Wasserwerksgenossenschaft Pürgg,UTILITIES
Fit21 GmbH,CONSUMER DISCRETIONARY
Helmut Sachers Kaffee GmbH,CONSUMER STAPLES
MPREIS Warenvertriebs GmbH,CONSUMER STAPLES
Haberkorn GmbH,INDUSTRIALS
SPAR Business Services GmbH,INFORMATION TECHNOLOGY
ORF-Beitrags Service GmbH,COMMUNICATIONS
Digital Camera Graz e.U.,CONSUMER DISCRETIONARY
Heidenbauer Stahl und Tragwerk GmbH,INDUSTRIALS
Egg- und Andelsbucher Abwasserreini,UTILITIES
Gigant Verpackungstechnik GmbH,INDUSTRIALS
Group Heinzel Holding,MATERIALS
Wirth GmbH,INDUSTRIALS
Autohaus Rüf GmbH & Co KG,INDUSTRIALS
SKE Engineering GmbH,INDUSTRIALS
e-tec electronic GmbH,CONSUMER DISCRETIONARY
ecoforst GmbH,INDUSTRIALS
Group Illwerke,UTILITIES
Raiffeisen-Lagerhaus Korneuburg und,CONSUMER DISCRETIONARY
Wohnbau Hausruckviertel Gemeinn.,REAL ESTATE
LIETZ - Linz GmbH,CONSUMER DISCRETIONARY
Mutter Teresa Vereinigung,NOT RELEVANT
Stella Pflegehilfemanagement GmbH,HEALTH CARE
VIVATIS Holding AG,NOT RELEVANT
Qbasis Invest GmbH,FINANCIALS
TSI-Terminal und Software Installat,FINANCIALS
LAMBDA Wärmepumpen GmbH,INDUSTRIALS
Rudolf Leiner Gesellschaft m.b.H.,CONSUMER DISCRETIONARY
Rieder Betonwerk GmbH,INDUSTRIALS
Subgroup Centrex,INDUSTRIALS
MSG Mechatronic Systems GmbH,INDUSTRIALS
Michael,INDUSTRIALS
FTM DOO  NOVI TRAVNIK,INDUSTRIALS
Conpex Industrieböden GmbH,INDUSTRIALS
Reha-Service GmbH,CONSUMER DISCRETIONARY
Oesterreichische Banknoten- und Sic,FINANCIALS
Veganis GmbH,CONSUMER STAPLES
Falkner & Riml GmbH,INDUSTRIALS
Diefenbachgasse 52,REAL ESTATE
RAN zehn Raiffeisen-Anlagenvermietu,FINANCIALS
InterWork Personalservice GmbH,INDUSTRIALS
JEKA Kerzen GmbH,CONSUMER DISCRETIONARY
Haus & Brunner GmbH,CONSUMER STAPLES
"Franz Blaha, Sitz- und Büromöbel In",INDUSTRIALS
EKB Elektro- u. Kunststofftechnik G,NOT RELEVANT
Die Niederösterreichische Leasing G,FINANCIALS
Oerlikon Balzers Coating Austria Gm,MATERIALS
LBG Loos Beteiligungs-GmbH,REAL ESTATE
Johann Eisl Gesellschaft mbH,CONSUMER DISCRETIONARY
willhaben internet service GmbH & C,COMMUNICATIONS
Oberalp Austria GmbH,CONSUMER DISCRETIONARY
Dry - Tec Entfeuchtung und Klima Gm,INDUSTRIALS
NT BETON GmbH,INDUSTRIALS
Materialversuchsantalt Strass GmbH,INDUSTRIALS
HSL Leasing-Holding GmbH,FINANCIALS
NEUMED AG,HEALTH CARE
Christian Harb GmbH,FINANCIALS
Lagerhaus Wechselgau eGen,CONSUMER STAPLES
Obersteirische Molkerei eGen,CONSUMER STAPLES
Österreichischer Fußball-Bund -ÖFB,INDUSTRIALS
Wohnbauvereinigung für,REAL ESTATE
Heidenbauer Aluminium GmbH,INDUSTRIALS
Österreichischer Skiverband,CONSUMER DISCRETIONARY
MAHLE Holding Austria GmbH,CONSUMER DISCRETIONARY
Pegas - Ds A.S.,NOT RELEVANT
Laufen Austria AG,CONSUMER DISCRETIONARY
Engineering Center Steyr GmbH,NOT RELEVANT
