Aedan
Aidan
Aerthirn
Eudeyrn
Aircol
Aergul
Arhuiret
Arthbodu
Arthuodu
Arthfoddw
Arthcumanu
Arthmail
Arthfael
Athruis
Atoc
Auner
Beli
Biuan
Biuon
Bledgur
Bledri
Bleddri
Bledud
Blaiddudd
Bleidcu
Bleiddgu
Bleinbiv
Brychain
Branud
Briauail
Briafael
Brochmail
Brochuail
Brocuail
Brochfael
Byrguith
Caratauc
Caradog
Carbani
Catell
Cadell
Catgen
Catgual
Cadwal
Catguallaun
Cadwallon
Catguare
Catguaret
Catguoret
Cadwared
Catgucaun
Catguocaun
Cadwgon
Catleu
Cadog
Ceitimor
Cerenhir
Cerennhir
Cetuur
Cidrich
Cydrich
Cydrych
Cilciuhinn
Cimeilliauc
Cinan
Cinon
Conan
Cinbran
Conbran
Cunbran
Cynfran
Cincenn
Concen
Cyngen
Cingual
Cynwal
Cingualan
Cynwallon
Cinnhor
Cinnor
Cinuchan
Cinuedu
Cinuin
Cinuoc
Citoc
Ciuarheru
Cobreigen
Coilbrit
Colbrit
Conbrinun
Condaf 
Cyndaf
Confur
Conuur 
Cynfer
Congen
Conguare
Conguean
Congurique 
Cynwrig
Conhail
Conhibrit
Conlec
Conoc
Conuan
Conueon
Conuetu
Conuoet
Conuoge
Conuonuc
Cors
Crashaiou
Cuchein
Cuelino 
Cuhelyn
Cunuaret 
Cynwared
Cunueon
Cyngualan 
Cynwallon
Cyngur
Dibin
Dissaith
Diuaret
Diuin
Dofngarth
Dofran
Draincun
Dubricio 
Dyfrig
Duna
Dunna
Ebba
Eidef
Eidniuet 
Ednyfed
Einbresel
Eithin
Elci
Elcu
Elfin
Elgued
Eli
Elinui 
Elinwy
Elisael
Elised 
Elisedd
Elstan
Enim
Enniaun 
Einion
Erbic
Esne
Eudeat
Euilaun
Eutigirn 
Eudeyrn
Frioc
Gabran
Gallcun
Gallun
Garu
Gellan
Gendoc
Gindoc
Gistin
Gistinus
Gistlerth
Gistrerth
Gleinguid
Gliuis 
Glywys
Gloiu
Grifud
Gruffudd
Grucinan
Guabeith
Guaidnerth 
Gwaeddnerth
Guainint
Guallonir
Gullonar
Gucaunus
Guebric
Guedgen
Guedguen
Gueithgen
Guidgen
Gwyddien
Gueiluirth
Gueithgno
Guelbiu
Guencat
Guengarth
Guerngen
Guidlovius
Guodloiu
Guidnerth 
Gwyddnerth
Guinan
Guingual
Guingualum
Guithrit
Gulbrit
Gunbiu
Guncar
Gunda
Guocob
Guocof
Guonocatui
Guordic
Gurcant
Gwrgant
Gurceneu
Gurceniu
Gurcenou 
Gwrgeneu
Gurci 
Gwrgi
Gurcimanu 
Gurcinnif
Gurcon 
Gwrgon
Gurdilic 
Gwrddylig
Gurdocui 
Gwrddogwy
Gurguistil 
Gwrwystl
Gurhaval
Guriat 
Gwriad
Guronui 
Gwronwy
Gustin
Haiuoen
Heufric
Higueid
Huweyn
Ouein
Yugein 
Owein
Hirel
Hiuel
Hiugel
Houel
Huwel 
Hywel
Idcant
Idguallaun
Iudguallaun
Iudguallon 
Idwallon
Idguin
Idmab
Idnerth 
Idnerth
Ilud 
Illud
Ismael 
Isfael
Ithail
Iuthel
Iudhail
Judhail 
Ithel
Iudcant
Iudgual 
Idwal
Iudguoret 
Idwared
Iudhubr
Iudic 
Iddig
Iunet
Iurthir
Jouaf
Laur
Letric
Libiau
Lifris
Loudoce
Louheithi
Luuaet
Loumarch
Luuarch 
Llywarch
Mailbrigit
Maioc
Maiuc
Malcant
March
Margetud 
Maredudd
Matauc
Matuc 
Madog
Mei
Merchbiu
Merchuiu 
Merchfyw
Merchguinus 
Merchwyn
Merchiaun 
Merchion
Merchitir
Merthyr
Milgen
Mor
Morcan
Morcant
Morgan
Morcenou 
Morgeneu
Mormarch
Moruarch 
Morfarch
Mouric
Mouricus
Muricus 
Meurig
Nir
Nouis
Nougui 
Nowy
Nud 
Nudd
Oguhyr
Oran
Oudoceus 
Euddogwy
Reu
Riacat
Richrit
Riderch 
Rhydderch
Riguallaun
Riuallaun
Riuguallaun 
Rhywallon
Rihedl
Rihoithil
Rioidyl
Ris 
Rhys
Riuelgur
Rotri 
Rhodri
Ruid
Run 
Rhun
Sadoc
Satuc
Scituc
Sed
Sulgen 
Sulien
Tecguaret 
Tegwared
Teudiric 
Tudwrig
Teudur 
Tudur
Teudus 
Tudws
Tirchanus
Trycan
Trychan
Titgual 
Tidwal
Turguert
Tutnerth 
Tudnerth
