Angharad
Dulon
Onbraust
Ourdilat
Gwenllian
Wentlian
Wentlyan
Wentliana
Wentlyana
Gwladus
Wladus
Wladusa
Dyddgu
Tudgech
Dudgech
Dugech
Lleucu
Lewke
Leweke
Leuke
Tangwystl
Tangwistel
Generys
Generys
Generis
Gwerfyl
Wervel
Wervill
Wervela
Wervilla
Morfudd
Morud
Morwid
Morwith
Nest
Nest
Hunydd
Hunith
Gwen
Wen
Gwen
Gwledyr
Wledyr
Wledir
Wladur
Morfyl
Morvel
Myfanwy
Mevanou
Erdudfyl
Eduduwel
Erdiduwol
Gwerydd
Gwerith
Madrun
Maderun
Margaret
Margareta
Marured
Perweur
Perweur
Genilles
Genithles
Geneth
Enith
Gwir
Wir
Iwerydd
Ewerich

