place_category,ending
elevation,oinavieta
elevation,ola
elevation,oqui
elevation,orri
elevation,orta
elevation,queldo
elevation,queta
elevation,qui
elevation,raitz
elevation,rate
elevation,rdaburu
elevation,rey
elevation,rra
elevation,rraitz
elevation,rrey
elevation,rri
elevation,rrunarri
elevation,rta
elevation,rticum
elevation,rticun
elevation,runarri
elevation,río
elevation,saldita
elevation,scu
elevation,ticum
elevation,ticun
elevation,tlluitz
elevation,tzgorri
elevation,ueldo
elevation,ueta
elevation,uitz
elevation,uma
elevation,unarri
elevation,ura
elevation,uru
elevation,utz
elevation,vieta
elevation,zarraitz
elevation,zcárate
elevation,zgorri
elevation,zuma
elevation,árate
island,-arria
island,-arriá
island,Aketx
island,Aqueche
island,Erbosa
island,Izaro
island,Villano
island,a-arria
island,a-arriá
island,ano
island,aro
island,arria
island,arriá
island,bosa
island,che
island,eche
island,etx
island,illano
island,ketx
island,la-arria
island,la-arriá
island,lano
island,lla-arria
island,lla-arriá
island,llano
island,osa
island,queche
island,rbosa
island,ria
island,riá
island,rria
island,rriá
island,ueche
island,zaro
populated place,-Agudas
populated place,-Alegre
populated place,-Altamira
populated place,-Antiguo
populated place,-Arabios
populated place,-Arana
populated place,-Arrazua
populated place,-Ausonia
populated place,-Ausuna
populated place,-Ciérvana
populated place,-Derio
populated place,-Elejalde
populated place,-Elexalde
populated place,-Elizondo
populated place,-Gamboa
populated place,-Jemein
populated place,-Lugariz
populated place,-Mendi
populated place,-Miota
populated place,-San
populated place,-Sopuerta
populated place,-Torrea
populated place,-Ugarte
populated place,-Urtupiña
populated place,-Viña
populated place,-Zelay
populated place,-chiqui
populated place,-zar
populated place,Abadiano
populated place,Abajo
populated place,Abechuco
populated place,Abecia
populated place,Acorda
populated place,Adana
populated place,Aduna
populated place,Aeta
populated place,Agarre
populated place,Agudas
populated place,Aguinaga
populated place,Agustín
populated place,Ahedo
populated place,Aitzarte
populated place,Aitze
populated place,Aizarna
populated place,Alaizo
populated place,Albiz
populated place,Albiztur
populated place,Albéniz
populated place,Albóniga
populated place,Alcedo
populated place,Alcibar
populated place,Alda
populated place,Aldaba
populated place,Aldaca
populated place,Aldape
populated place,Alecha
populated place,Alegre
populated place,Alegría
populated place,Algorta
populated place,Ali
populated place,Allende
populated place,Allona
populated place,Aloria
populated place,Alsusta
populated place,Altamira
populated place,Alzagate
populated place,Alzo
populated place,Alzusta
populated place,Alácano
populated place,Alén
populated place,Amasa
populated place,Amavizcar
populated place,Amez
populated place,Amárita
populated place,Amézola
populated place,Amézqueta
populated place,Ana
populated place,Anaca
populated place,Anda
populated place,Andagoya
populated place,Andicona
populated place,Andoain
populated place,Andollu
populated place,Andoín
populated place,Andracas
populated place,Andramari
populated place,Andrés
populated place,Anguiozar
populated place,Anorga
populated place,Antezana
populated place,Antiguo
populated place,Antías
populated place,Anuncibay
populated place,Anzuola
populated place,Aozaraza
populated place,Aozo
populated place,Aperribay
populated place,Aprícano
populated place,Apérregui
populated place,Apózaga
populated place,Arabios
populated place,Arabuste
populated place,Aracaldo
populated place,Arama
populated place,Arana
populated place,Aranguren
populated place,Araoz
populated place,Araya
populated place,Arbaiza
populated place,Arboleda
populated place,Arbulo
populated place,Arbácegui
populated place,Arbóliz
populated place,Arcarazo
populated place,Arcaule
populated place,Arcaute
populated place,Arcaya
populated place,Arce
populated place,Arceniega
populated place,Arciniega
populated place,Arcocha
populated place,Arditurre
populated place,Arechalde
populated place,Areitio
populated place,Arena
populated place,Arenas
populated place,Arenaza
populated place,Aresti
populated place,Areta
populated place,Argandoña
populated place,Aritzalde
populated place,Arizgoiti
populated place,Arlucea
populated place,Armentia
populated place,Arminza
populated place,Arraibi
populated place,Arrazua
populated place,Arriaga
populated place,Arriarán
populated place,Arriba
populated place,Arrielas
populated place,Arrieta
populated place,Arrietas
populated place,Arrona
populated place,Arrondoa
populated place,Arrázola
populated place,Arrízala
populated place,Arróyabe
populated place,Arta
populated place,Artaza
populated place,Artecalle
populated place,Articas
populated place,Artigas
populated place,Artiturri
populated place,Arzalde
populated place,Arzuaga
populated place,Arzubiaga
populated place,Aréjola
populated place,Aríñez
populated place,Ascarza
populated place,Aspuru
populated place,Aspárrena
populated place,Asteasu
populated place,Astelarra
populated place,Asterrica
populated place,Astóviza
populated place,Astúlez
populated place,Ataun
populated place,Atauri
populated place,Audícana
populated place,Aulestia
populated place,Ausonia
populated place,Ausuna
populated place,Axpe
populated place,Aya
populated place,Ayarza
populated place,Ayazaza
populated place,Azcaray
populated place,Azcoaga
populated place,Azpeitia
populated place,Azquizu
populated place,Aztiria
populated place,Azáceta
populated place,Añua
populated place,Añés
populated place,Bachícabo
populated place,Baguio
populated place,Baquio
populated place,Baracaldo
populated place,Barambio
populated place,Bareño
populated place,Barinaga
populated place,Baroja
populated place,Barrio
populated place,Barroeta
populated place,Barrón
populated place,Basabe
populated place,Basauri
populated place,Basecheas
populated place,Basozábal
populated place,Beasain
populated place,Beci
populated place,Bedarona
populated place,Bedoña
populated place,Behobia
populated place,Behovia
populated place,Beirotza
populated place,Belandia
populated place,Belaunza
populated place,Belunza
populated place,Bengoeche
populated place,Berango
populated place,Beraza
populated place,Berganzo
populated place,Bergüenda
populated place,Bermeo
populated place,Berna
populated place,Bernales
populated place,Bernedo
populated place,Berreño
populated place,Berriatúa
populated place,Berrio
populated place,Berrobi
populated place,Berrojas
populated place,Berunza
populated place,Beráscola
populated place,Betoño
populated place,Beótegui
populated place,Bilboa
populated place,Billela
populated place,Biscaya
populated place,Bizcardo
populated place,Biáñez
populated place,Bollar
populated place,Bollaín
populated place,Bolueta
populated place,Bolíbar
populated place,Bolívar
populated place,Bolúmburu
populated place,Botiolas
populated place,Bríncola
populated place,Bujanda
populated place,Burbustu
populated place,Burdaria
populated place,Burdarias
populated place,Bérriz
populated place,Bóveda
populated place,Cadena
populated place,Caleras
populated place,Calezarra
populated place,Calizas
populated place,Callarte
populated place,Callejo
populated place,Campa
populated place,Campanchu
populated place,Campomar
populated place,Canala
populated place,Caranca
populated place,Carrica
populated place,Castillo
populated place,Catadiano
populated place,Cazanes
populated place,Ceas
populated place,Cegama
populated place,Celaya
populated place,Celayeta
populated place,Celayetas
populated place,Cenarruza
populated place,Cerain
populated place,Cerca
populated place,Cerco
populated place,Cestona
populated place,Cezura
populated place,Ceánuri
populated place,Cicujano
populated place,Cipriano
populated place,Ciérvana
populated place,Comunión
populated place,Concha
populated place,Contrasta
populated place,Corrillo
populated place,Cortázar
populated place,Costera
populated place,Crucero
populated place,Cruz
populated place,Cuadra
populated place,Cuadro
populated place,Curchiaga
populated place,Cénita
populated place,Dallo
populated place,Deba
populated place,Derio
populated place,Desierto
populated place,Deusto
populated place,Deva
populated place,Dintias
populated place,Domaiquia
