name,industry
"COOP Jednota GA, spotr. druzstvo",NOT RELEVANT
"Gomolova Marcela, Mgr.",NOT RELEVANT
MC - Real s.r.o.,FINANCIALS
"Asbis Slovakia, a.s.",INFORMATION TECHNOLOGY
DELTA ELECTRONICS SLOVAKIA S R O,INDUSTRIALS
"KERKO - Kamenina, a.s.",NOT RELEVANT
Tibor Stefanik - NOBA - SMOKER,NOT RELEVANT
"POHOTOVOST, s.r.o.",FINANCIALS
BARDEJOVSKE KUPELE a. s.,HEALTH CARE
MEDEKO CAST s.r.o.,NOT RELEVANT
TGD k. s.,INDUSTRIALS
"Stein, s.r.o.",NOT RELEVANT
"Jancik Jaroslav, Ing.",NOT RELEVANT
DUHA - FOND,NOT RELEVANT
"FOLTRANS, s. r. o.",INDUSTRIALS
AEROLAND s.r.o.,NOT RELEVANT
"GLOBE METAL & FINANCE, a.s.",NOT RELEVANT
"EMOS INVEST, s. r. o.",REAL ESTATE
"Meszaros Gabriel, Mgr.",NOT RELEVANT
AGROCREDIT s.r.o.,CONSUMER STAPLES
B C S R Advisory a.s.,INDUSTRIALS
MBB a.s.,REAL ESTATE
K.P.F. s.r.o.,CONSUMER STAPLES
"Schwarzova Marieta, Ing.",REAL ESTATE
"RELAX 2000, spol. s r.o.",INDUSTRIALS
"AVIANA PLUS, s.r.o.",CONSUMER DISCRETIONARY
"STM POWER Trading, s. r. o.",INDUSTRIALS
"HSH Chemie, s.r.o., OZ",MATERIALS
METRO Cash & Carry SR s. r. o.,CONSUMER STAPLES
"EDS Internarn. SK, s. r. o. v lik.",UTILITIES
KANSKY distribution a.s.,CONSUMER DISCRETIONARY
"AKE Skalica, s.r.o.",INDUSTRIALS
"ROEZ, s.r.o.",INDUSTRIALS
ECCO Retail (Slovakia) s. r. o.,CONSUMER DISCRETIONARY
"GRAM KOSICE, s.r.o.",CONSUMER STAPLES
Hornbach Immobilien SK - BW s.r.o.,CONSUMER DISCRETIONARY
"Nagy Gregor, Ing.",INDUSTRIALS
Holicky Radovan,INDUSTRIALS
"SI REAL, s. r. o.",HEALTH CARE
PHOENIX Zdravotnicke zasobovanie,HEALTH CARE
Schill Dental Services s.r.o.,HEALTH CARE
"SWAN PK, s. r. o.",COMMUNICATIONS
"DIAKOL STRAZSKE, s.r.o.",MATERIALS
Vlkolia s.r.o.,HEALTH CARE
"JOMA Slovakia, spol. s r.o.",INDUSTRIALS
"MO Fin, s.r.o.",CONSUMER STAPLES
IIH a. s.,INDUSTRIALS
"Fabianova Hana, Ing.",INFORMATION TECHNOLOGY
EVPU a.s.,INDUSTRIALS
Holic Jan,INDUSTRIALS
"Jurik Jan, Ing.",NOT RELEVANT
"Aqist, a. s.",INFORMATION TECHNOLOGY
DETVIANSKA spol. s r.o.,INDUSTRIALS
"COMPEL RAIL, a.s.",INDUSTRIALS
KELEX s.r.o.,INDUSTRIALS
Messer Medical Home Care,MATERIALS
"DSC, a.s.",INDUSTRIALS
"AP MEDIA, s.r.o.",CONSUMER DISCRETIONARY
"SMZ - Sluzby, a.s. Jelsava",MATERIALS
SLOVDRINK spol. s r.o.,NOT RELEVANT
MPL Krytstav s.r.o.,CONSUMER DISCRETIONARY
"REAKTORTEST, s.r.o.",INDUSTRIALS
"VEDOS Kechnec, s. r. o.",MATERIALS
"Hrabovsky Martin, Ing.",NOT RELEVANT
"LAMET, s.r.o.",INDUSTRIALS
"Euroclean Slovakia, s.r.o.",INDUSTRIALS
"J.P.V.K. SROS, spol. s r.o.",INDUSTRIALS
COOP Jednota Trencin,CONSUMER STAPLES
PODPARDOM,CONSUMER DISCRETIONARY
AGRALL s. r. o.,INDUSTRIALS
BELTIMO a.s.,CONSUMER STAPLES
Triumf professional tools s.r.o.,INDUSTRIALS
SAT SLOVENSKO s.r.o.,INDUSTRIALS
A.I.I. Technicke sluzby s. r. o.,INDUSTRIALS
"DURAS, s.r.o.",CONSUMER DISCRETIONARY
KOSIT a.s.,INDUSTRIALS
DREVONAEXPORT s.r.o.,CONSUMER DISCRETIONARY
"DOMUS BENE - DOM DOBRA, o.z.",NOT RELEVANT
Group Hornonitrianske bane,ENERGY
"Anja, spol. s r.o.",CONSUMER STAPLES
Porsche Inter Auto Slovakia,CONSUMER DISCRETIONARY
"Euro MAX Slovakia, a.s.",REAL ESTATE
Rolnicke druzstvo v Pavliciach,CONSUMER STAPLES
Hertz Autopozicovna s. r. o.,FINANCIALS
HB Reavis Group a. s.,REAL ESTATE
"SAVE-TECH, spol. s.r.o.",INDUSTRIALS
Group Marak Stefan,INDUSTRIALS
"Farma Beckov, druzstvo",CONSUMER STAPLES
GreenWay Slovensko s.r.o.,CONSUMER DISCRETIONARY
DHL Supply Chain Slovakia s. r. o.,INDUSTRIALS
"Toth Roman, Ing.",CONSUMER DISCRETIONARY
"Big Box Obaly, s. r. o.",MATERIALS
"FCC Trnava, s.r.o.",INDUSTRIALS
"Kuchta, Norbert",INDUSTRIALS
AVE SK ODPADOVE HOSPODARSTVO S R O,INDUSTRIALS
"DS PROPERTY, a.s.",REAL ESTATE
"Ziman Stefan, Ing.",NOT RELEVANT
Novy Radovan,NOT RELEVANT
"WMJ company, s.r.o.",CONSUMER STAPLES
Bytovy dom Smolenicka 3135/3,REAL ESTATE
"ESSOX FINANCE, s.r.o.",CONSUMER DISCRETIONARY
Aura Management s. r. o.,NOT RELEVANT
"PELAGA, s.r.o.",HEALTH CARE
"DDK SLOVAKIA, spol. s r.o.",CONSUMER STAPLES
"Svet zdravia Akademia, n.o.",HEALTH CARE
TATRALIFT a.s.,INDUSTRIALS
"Gallo Jan, Ing.",NOT RELEVANT
Perger Dusan,NOT RELEVANT
MPL STAVING spol. s r.o.,INDUSTRIALS
"Continental Tires Slovakia, s.r.o.",CONSUMER DISCRETIONARY
BAM - EKO a.s.,CONSUMER STAPLES
BURUNDI SK s. r. o.,NOT RELEVANT
Crafton a. s.,REAL ESTATE
"A3 invest, s.r.o.",REAL ESTATE
"DYNAMAX, s.r.o.",MATERIALS
"ADS Invest, s.r.o.",INDUSTRIALS
EUBIRAC a.s.,INDUSTRIALS
"CLEANMET, s.r.o.",INDUSTRIALS
Spolocenstvo Slov. jednoty 44-48,CONSUMER DISCRETIONARY
Dustream production s.r.o.,CONSUMER STAPLES
DV creative s. r. o.,CONSUMER DISCRETIONARY
Slovensky zvaz drahoveho golfu,CONSUMER DISCRETIONARY
MM holding s.r.o.,CONSUMER DISCRETIONARY
"Buban Jan, Ing.",CONSUMER DISCRETIONARY
"green energy services, s.r.o.",UTILITIES
A P I A G R A s.r.o.,INDUSTRIALS
"APORES, s.r.o.",REAL ESTATE
SPP,UTILITIES
"PaletExpress, s.r.o.",INDUSTRIALS
TERNO real estate s.r.o.,CONSUMER STAPLES
"KMRecycling, s.r.o.",INDUSTRIALS
MODOM PODHALE spolocnost s rucenim,MATERIALS
Persson s. r. o.,CONSUMER STAPLES
"ELIMER, a.s.",INDUSTRIALS
KURSALON s.r.o.,CONSUMER DISCRETIONARY
"Ondas Jozef, RNDr., CSc.",INFORMATION TECHNOLOGY
"Inter. Medicine Studies, s.r.o.",CONSUMER DISCRETIONARY
"LEAS.SK, s.r.o.",CONSUMER DISCRETIONARY
"RECOPAP, s.r.o.",MATERIALS
"SESO - SPOL. S R.O.,",INFORMATION TECHNOLOGY
BELOBRAD PAVOL ING.,INDUSTRIALS
"INGOS, a.s.",CONSUMER STAPLES
"UNIMED, spol. s r.o.",NOT RELEVANT
"AGP Bonita, akciova spolocnost",CONSUMER STAPLES
TENA OIL a. s.,ENERGY
"AJCOR SLOVAKIA, spol. s r.o.",NOT RELEVANT
"SSE-Solar, s.r.o.",UTILITIES
"Kovar Oldrich, Ing.",NOT RELEVANT
Casma s. r. o.,CONSUMER DISCRETIONARY
"Micros-LM, s. r. o.",INDUSTRIALS
"Bratislavske tlaciarne, akciova spo",NOT RELEVANT
"MODRANY Slovakia, a. s.",NOT RELEVANT
"SAKRET Slovakia, k.s.",NOT RELEVANT
"Misiak Caltikova Andrea, Ing.",NOT RELEVANT
Dzurnak Boris,NOT RELEVANT
Miroslav Ronec - MPL STAVRO,REAL ESTATE
"KUK - TRADE, s. r. o.",INDUSTRIALS
Telovychovna jednota STROJAR MALACK,CONSUMER DISCRETIONARY
BestDrive Slovakia s.r.o.,CONSUMER DISCRETIONARY
"Warcun, a. s.",CONSUMER DISCRETIONARY
CEVA Ground Log. Slovakia,INDUSTRIALS
Woory Slovakia s.r.o.,CONSUMER DISCRETIONARY
"AQUA PRO EUROPE, a.s.",CONSUMER STAPLES
"Klamo Peter, Ing.",INDUSTRIALS
"Joza Marcel, JUDr.",INDUSTRIALS
"EGC, s.r.o.",INDUSTRIALS
Marcela Csendesova,CONSUMER DISCRETIONARY
"YES INVEST Bratislava, s. r. o.",HEALTH CARE
CORINEX COMMUNICATIONS a.s.,INFORMATION TECHNOLOGY
"Lukac Rastislav, Ing.",MATERIALS
Armerina s. r. o.,HEALTH CARE
"ENAGRO, a.s.",CONSUMER STAPLES
Nemocnica novej generacie Michalovc,HEALTH CARE
"MicroStep, spol. s r.o.",INDUSTRIALS
"Welding, s.r.o.",INDUSTRIALS
ALEXIFARM s.r.o.,CONSUMER STAPLES
"Aeros, s. r. o.",INDUSTRIALS
"JOJ Media House, a. s.",COMMUNICATIONS
Optima HoldCo s.r.o.,REAL ESTATE
pelicantravel.com s.r.o.,CONSUMER DISCRETIONARY
"Svadba v kastieli Petrovany, s.r.o.",CONSUMER DISCRETIONARY
SATUR TRANSPORT a.s.,CONSUMER DISCRETIONARY
AGROPRODUKT SLOVAKIA a.s.,CONSUMER STAPLES
NCC a. s.,INFORMATION TECHNOLOGY
VZT-Systemy s.r.o.,INDUSTRIALS
WANES s.r.o.,INDUSTRIALS
Group Matador,CONSUMER DISCRETIONARY
"Gedeon Richter Slovakia, s. r. o.",HEALTH CARE
"T13, s.r.o.",COMMUNICATIONS
KOVO SIPOX a.s.,INDUSTRIALS
Rolnicke druzstvo Vrbova nad Vahom,CONSUMER STAPLES
"TIPOS, narodna",CONSUMER DISCRETIONARY
"KAPIT, s.r.o.",INDUSTRIALS
VERMONT Services Slovakia s. r. o.,CONSUMER DISCRETIONARY
"MINT, s.r.o.",NOT RELEVANT
Rebuy Stars s. r. o.,CONSUMER DISCRETIONARY
"Lekaren SNINA, s.r.o.",CONSUMER DISCRETIONARY
"ASSYX, spol. s r.o.",NOT RELEVANT
ZOS TRADING s.r.o.,INDUSTRIALS
Alfacable Slovakia s. r. o.,INDUSTRIALS
AGRO - VALALIKY GROUP s.r.o.,CONSUMER STAPLES
STAVIS comp s. r. o.,INDUSTRIALS
SPOL.VLAST.BYT.A NEB.PRIES. LUCNA,FINANCIALS
Urbanekova Emilia,INDUSTRIALS
"NARES, s.r.o.",INDUSTRIALS
Spol. vlastnikov Studenohorska,CONSUMER DISCRETIONARY
INEX spol. s r.o.,NOT RELEVANT
"Hroziencikova Maria, Ing.",NOT RELEVANT
SERVIS2B s.r.o.,CONSUMER DISCRETIONARY
Autoklub Slovenskej republiky,INDUSTRIALS
Motor-Car Wiesenthal,CONSUMER DISCRETIONARY
VAP Group a.s.,INDUSTRIALS
SMARTMEDIA solutions s.r.o.,CONSUMER DISCRETIONARY
"TITAN - Tatraplast, s.r.o.",INDUSTRIALS
Inovec Reality s.r.o.,CONSUMER DISCRETIONARY
"eustream, a.s.",UTILITIES
"KLARTEC, spol. s r.o.",MATERIALS
"Brudnak Peter, Ing.",INDUSTRIALS
GRUPO ANTOLIN BRATISLAVA s.r.o.,CONSUMER DISCRETIONARY
CARGO GROUP SLOVAKIA s.r.o.,INDUSTRIALS
VEAB s. r. o.,INDUSTRIALS
PropertyCorp s.r.o.,INDUSTRIALS
"Skolkay Eduard, Ing.",CONSUMER DISCRETIONARY
"Kovac, Karol",INDUSTRIALS
"Zdutova - Stastna Sylvia, Ing.",CONSUMER DISCRETIONARY
"BENCONT GROUP, a. s.",REAL ESTATE
Eco-Pack Logistics s.r.o.,INDUSTRIALS
"Hanus Pavel, Mgr., MBA",MATERIALS
Krivosudsky Jozef,INDUSTRIALS
"FARMA MAGJEP, s. r. o.",CONSUMER STAPLES
"MBPAN ASSETS, s. r. o.",CONSUMER DISCRETIONARY
"ORAGRO-V, s.r.o.",CONSUMER STAPLES
"ARPROG, akciova spolocnost Poprad",INDUSTRIALS
"Rybar Boris, Ing.",INFORMATION TECHNOLOGY
HB RI SK,REAL ESTATE
Novak Daniel,INFORMATION TECHNOLOGY
NeuroVet s.r.o.,HEALTH CARE
"Begonja Jozefina, Mgr.",NOT RELEVANT
"K R O N SK, s.r.o.",MATERIALS
"ZRUBY RAJEC, s.r.o.",INDUSTRIALS
"BRA-VUR, a.s.",MATERIALS
"Power of Two, s. r. o.",INFORMATION TECHNOLOGY
Komunitna nadacia Presov,HEALTH CARE
"BISO Schrattenecker, s.r.o.",INDUSTRIALS
EUROTRADE TRUCK s.r.o.,NOT RELEVANT
BICKEL & WOLF Bratislava s.r.o.,INDUSTRIALS
"Optimetall, s.r.o.",CONSUMER DISCRETIONARY
"Polnovyroba KRASNA LUKA, s.r.o.",NOT RELEVANT
"Virtual Reality Media, a.s.",INDUSTRIALS
Transparency Intern.Slovensko,NOT RELEVANT
"BOFOAM, SPOLOCNOST S RUCENIM",NOT RELEVANT
"Kasana Andrej, Ing.",NOT RELEVANT
"W.S.M., s. r. o.",CONSUMER STAPLES
Juraj Hamracek,MATERIALS
Jakubove Sona,NOT RELEVANT
"GMD FINANCE, s. r. o.",REAL ESTATE
Group Maas Andrej,HEALTH CARE
PLAY ELECTRONICS S R O,CONSUMER DISCRETIONARY
VENAT A S,NOT RELEVANT
Trebisovsky Auto HE s. r.o.,CONSUMER DISCRETIONARY
AGROTREND Kolarovo s.r.o.,CONSUMER STAPLES
