name,industry
ALBA TOTO PF,NOT RELEVANT
AQUADROM TIRANA SHPK,CONSUMER DISCRETIONARY
SELAMI SHPK,INDUSTRIALS
BLENARD GILA PF,CONSUMER DISCRETIONARY
Group Gazyka shpk,CONSUMER DISCRETIONARY
GLOBAL TRAVEL SHPK,CONSUMER DISCRETIONARY
TV KLAN SHA,COMMUNICATIONS
GROUP MEROLLI OIL ,CONSUMER DISCRETIONARY
SEGMENT SHA,CONSUMER DISCRETIONARY
BUCAJ INTERNATIONAL SHPK,CONSUMER DISCRETIONARY
POSTA SHQIPTARE SHA,INDUSTRIALS
EUROPROGRES OIL,CONSUMER DISCRETIONARY
ERMIR SHPK,MATERIALS
CONTINENTAL SHPK,MATERIALS
EPES GROUP SHPK,INDUSTRIALS
ITE GROUP SHPK,INDUSTRIALS
A-T-D-ALBANIAN TECHNOLOGY DIST SHPK,INFORMATION TECHNOLOGY
ARMS SCHOOL ACADEMY SHPK,INDUSTRIALS
INTERCOM SHPK,COMMUNICATIONS
FAB 01 sHPK,CONSUMER DISCRETIONARY
INVESTMENT JOTI-INFOSOFT GROUP SHPK,INDUSTRIALS
GENER 2 SHPK,INDUSTRIALS
LA STRADA,COMMUNICATIONS
TEKNO FIRE SHPK,INDUSTRIALS
AYEN ENERGY TRADING SHA,UTILITIES
FUSHE-KRUJE CEMENT FACTORY SHPK,MATERIALS
PIRRACI-U6 SHPK,INDUSTRIALS
MEGATEK SHA,CONSUMER DISCRETIONARY
LE SPOT PRODUCTION SHPK,CONSUMER DISCRETIONARY
HYMERI KLEEMANN SHPK,INDUSTRIALS
FAL DOORS SHPK,INDUSTRIALS
BNT ELECTRONICS SHPK,CONSUMER DISCRETIONARY
GRAND WHITE CITY SHPK,CONSUMER DISCRETIONARY
ARLIS NDERTIM-SHPK,INDUSTRIALS
JOTI SHPK,CONSUMER DISCRETIONARY
DUKA WINE SHPK,CONSUMER STAPLES
AUTO FRANCE-AL SHPK,CONSUMER DISCRETIONARY
ENERGO-SAS SHPK,UTILITIES
L.N.K SHPK,INDUSTRIALS
A & B GRUP,CONSUMER STAPLES
GROUP GJICI ,CONSUMER DISCRETIONARY
INTERLOGISTIC SHPK,CONSUMER STAPLES
DMC SHPK,CONSUMER STAPLES
IN TV ALBANIA,CONSUMER DISCRETIONARY
ANTIGONE RENTALS SHPK,INDUSTRIALS
EUROTEOREMA GROUP SHPK,REAL ESTATE
BINDI SHPK,INFORMATION TECHNOLOGY
ATEX SHPK,CONSUMER DISCRETIONARY
GULIT SHPK,MATERIALS
HIDRO MENTORI SHPK,INDUSTRIALS
RAFIN COMPANY SHPK,INDUSTRIALS
ARMAAR GROUP SHPK,INDUSTRIALS
TOP FRUITS SHPK,CONSUMER STAPLES
ARKONSTUDIO SHPK,INDUSTRIALS
IGLA SHPK,CONSUMER DISCRETIONARY
MOBILERI TIRANA SHPK,CONSUMER DISCRETIONARY
CEKREZI METAL SHPK,INDUSTRIALS
ITAL COSTRUZIONI SHPK,INDUSTRIALS
NDREGJONI SHPK,INDUSTRIALS
ABKONS SHPK,INDUSTRIALS
EUROCAR RENTALS SHPK,INDUSTRIALS
