name,industry
KOPECEK ZDENEK,NOT RELEVANT
"SVJ domu 40-41, Podebrady",REAL ESTATE
MESTANSKY PIVOVAR HAVLICKUV BROD A,CONSUMER STAPLES
Egres Real a.s.,REAL ESTATE
P-Hawker CZ s.r.o.,INDUSTRIALS
FURST MICHAL,NOT RELEVANT
AB Facility a.s.,INDUSTRIALS
BERAN JIRI S R O,CONSUMER DISCRETIONARY
AE&E CZ S.R.O.,INDUSTRIALS
BPI PRAHA INVEST A.S. V LIKVIDACI,INDUSTRIALS
BD DUO O. Jeremiase 1991,REAL ESTATE
Jankaj Michal,NOT RELEVANT
Group Bojko Jaromir,CONSUMER STAPLES
"Belos Property, s.r.o.",REAL ESTATE
MOTOR JIKOV GROUP A.S.,NOT RELEVANT
IMI INTERNATIONAL S R O,INDUSTRIALS
SV cp. 1697 Roznov p.R.,REAL ESTATE
VALUE 4INDUSTRY S R O,INDUSTRIALS
BD Spitalka 31,REAL ESTATE
WASHZONE S R O,INDUSTRIALS
NOVOTNY LEOS,NOT RELEVANT
SEBALEX s.r.o.,INDUSTRIALS
TERMONTA PRAHA A.S.,UTILITIES
ATOS stavebniny s.r.o.,CONSUMER DISCRETIONARY
IFRE PRECISION S R O,REAL ESTATE
BM PLUS SPOL S R O,MATERIALS
NC AUTO S R O,CONSUMER DISCRETIONARY
BEDNAR FMT S R O,INDUSTRIALS
Zemedelska akciova spolecnost,CONSUMER STAPLES
CPI HOTELS A S,REAL ESTATE
DIRAC INDUSTRIES S R O,INDUSTRIALS
G.A.S. Petroleum Group s.r.o.,INDUSTRIALS
"AGRODÍLNY, spol. s r.o.",CONSUMER DISCRETIONARY
SVJ 167-168 Libocany,REAL ESTATE
MOBIL POHOTOVOST GSM S R O,CONSUMER DISCRETIONARY
RAMOSO S R O,NOT RELEVANT
STEJSKAL MIROSLAV,NOT RELEVANT
SUBGROUP UNIKONT CONSOLIDATED,INDUSTRIALS
SUBGROUP MIKRO CONSOLIDATED,CONSUMER DISCRETIONARY
"UNNI Trading, s.r.o.",FINANCIALS
HAAS SOHN RUKOV S R O,INDUSTRIALS
FUNARENA CHEB S R O,CONSUMER DISCRETIONARY
SENIOR PROPERTIES TEREZÍN A.S.,HEALTH CARE
PROMUS KATOWICE ORGANIZACNI SLOZKA,CONSUMER DISCRETIONARY
SUNNY STREAM S R O,INDUSTRIALS
PEEK CLOPPENBURG S R O,CONSUMER DISCRETIONARY
