place_category,ending
convex shoreline,lyn
convex shoreline,lfa
convex shoreline,maes
elevated area,ian
elevated area,dris
elevation,ych
elevation,erwyn
populated place,lan
populated place,fan
populated place,ain
populated place,och
populated place,ryn
populated place,eth
populated place,lyn
populated place,ian
populated place,wel
populated place,oes
populated place,rug
populated place,ran
populated place,teg
populated place,dwy
populated place,ron
populated place,fon
populated place,tyd
populated place,nor
populated place,man
populated place,nin
populated place,ren
populated place,fyn
populated place,dig
populated place,wch
populated place,reg
populated place,hog
populated place,gwm
populated place,ine
populated place,rog
populated place,aes
populated place,lon
populated place,âch
populated place,hos
populated place,eli
populated place,rne
populated place,ern
populated place,len
populated place,vil
populated place,aid
populated place,ris
populated place,dog
populated place,ing
populated place,ogo
populated place,aen
populated place,rig
populated place,ddu
populated place,fin
populated place,awr
populated place,hen
populated place,enny
populated place,nant
populated place,ddyn
populated place,ilog
populated place,erch
populated place,arth
populated place,lech
populated place,well
populated place,nock
populated place,ilad
populated place,elly
populated place,goed
populated place,adoc
populated place,ndre
populated place,ther
populated place,chan
populated place,liog
populated place,waun
populated place,orth
populated place,lwyn
populated place,nach
populated place,ynon
populated place,lwyd
populated place,ilin
populated place,saint
populated place,felin
populated place,silio
populated place,nlais
populated place,ynydd
populated place,aiarn
populated place,organ
populated place,berth
populated place,scoed
populated place,ybont
populated place,glwys
populated place,nynog
populated place,derwen
populated place,iniog
stream,wen
stream,lyn
stream,nin
stream,vey
stream,adr
