name,industry
LOVERS ROMANIA SA,NOT RELEVANT
UCM TURNATE SRL,NOT RELEVANT
VILCEANA,NOT RELEVANT
G & D FOREST 2008,NOT RELEVANT
NEW BV AGRI SRL,CONSUMER STAPLES
OPTIPLAZA SRL,CONSUMER DISCRETIONARY
THE AMERICAN INT SCHOOL OF BUCHARES,NOT RELEVANT
DRIM DANIEL SRL,NOT RELEVANT
UZINA DE UTILAJ MINIER SI REPARATII,NOT RELEVANT
CITADIN ZALAU SRL,INDUSTRIALS
LOGGIA INDUSTRIA VOPSELEI SRL,NOT RELEVANT
LACUL CODRILOR SRL,MATERIALS
TOP MOTORS,NOT RELEVANT
SC PANIMON SA,CONSUMER STAPLES
REGIA AUTONOMA AEROPORTUL ORADEA,INDUSTRIALS
BEBE SUPERMARKET INVESTMENTS SRL,CONSUMER STAPLES
AREAL CONSTRUCT SRL,NOT RELEVANT
TASTROM 2 SRL,MATERIALS
HELINICK SRL,INDUSTRIALS
TCE ADMINISTRATIV S.R.L,INDUSTRIALS
ACIMODA S.R.L.,CONSUMER DISCRETIONARY
SOIV TRANS EXPRESS SRL,INDUSTRIALS
INTEGRAL SA,INDUSTRIALS
GROUP FILDAS,HEALTH CARE
IMROGLASS SRL,CONSUMER DISCRETIONARY
GENDAV GASOIL SRL,ENERGY
MARAGRO SRL,CONSUMER STAPLES
SUNRISE TOURS SRL,REAL ESTATE
EUROPE METAL TRADE SRL,INDUSTRIALS
VALDI MEDICA SRL,HEALTH CARE
PATRIAPLAST S R L,NOT RELEVANT
EURO-ECOLOGIC SRL,INDUSTRIALS
AMBER STUDIO SA,COMMUNICATIONS
ACCORDING GROUP SRL,INDUSTRIALS
ROMANIAN PETROLEUM SRL,INDUSTRIALS
SALADIN GAS SRL,CONSUMER DISCRETIONARY
BLACKCAB SYSTEMS SRL,INFORMATION TECHNOLOGY
ROMBEER CRINGASU SRL,INDUSTRIALS
GROUP DEROM DENTAL INTERNATIONAL,HEALTH CARE
NOANE TRANSPORT SRL,CONSUMER DISCRETIONARY
POULTRY BRASOV SRL,CONSUMER STAPLES
EXPERT CONNECTION SRL,COMMUNICATIONS
DRUMURI SI PODURI SA,INDUSTRIALS
TAREST PRODUZIONE SRL,NOT RELEVANT
CARL REH WINERY SRL,NOT RELEVANT
POSTA ATLASSIB CURIER RAPID SRL,INDUSTRIALS
CRISTIAN A SANDU,NOT RELEVANT
SUBGROUP ABC+PSC,REAL ESTATE
LIMOROM SRL,MATERIALS
RER Galbinasi,INDUSTRIALS
SC WATERHOUSE SRL,NOT RELEVANT
LUFIN CONSTRUCT SRL,INDUSTRIALS
BRAMET.RO SRL,NOT RELEVANT
APAVITAL SA,UTILITIES
MGN IMPEX SRL,CONSUMER STAPLES
REMAT GORJ SA,MATERIALS
PETRE M MILUT,NOT RELEVANT
SC DENTALTOP SRL,HEALTH CARE
RALLY B.M. COM SRL,CONSUMER DISCRETIONARY
EASTERN SHIPPING SRL,INDUSTRIALS
UNIGRAPHICA SRL,NOT RELEVANT
ROMPETROL GAS SRL,ENERGY
DUPLEX 91 SRL,FINANCIALS
MWCHIM PLANT PROTECT SRL,MATERIALS
LUC SAM SRL,NOT RELEVANT
PROFAL INDUSTRY SRL,INDUSTRIALS
AGRIAND IMPORT-EXPORT SRL,CONSUMER STAPLES
NEW ENERGY MANAGEMENT SRL,REAL ESTATE
MYOSOTIS SRL,CONSUMER STAPLES
E ON ENERGIE ROMANIA SA,UTILITIES
CITY CAFETERIA SRL,CONSUMER DISCRETIONARY
AUTOSINCRON SRL,CONSUMER DISCRETIONARY
MERKUR CASINO ROMANIA SRL,CONSUMER DISCRETIONARY
HORSE ROMANIA S.A.,CONSUMER DISCRETIONARY
GREEN DREAM SRL,REAL ESTATE
AGROMARK SRL,CONSUMER STAPLES
AMBER STUDIOS NETWORK INC,COMMUNICATIONS
Subgroup HS Timber Group GmbH,MATERIALS
STAR SERVICE SA,CONSUMER DISCRETIONARY
AUTOMOBILE BAVARIA SRL,CONSUMER DISCRETIONARY
CARMISTIN TRADING SRL,CONSUMER STAPLES
AROBS BUSINESS CENTER PLUS SRL,REAL ESTATE
GROUP ILDU,CONSUMER STAPLES
AGROSEL SRL,CONSUMER STAPLES
CTE TRAILERS SRL,CONSUMER DISCRETIONARY
DEGARO SRL,CONSUMER STAPLES
CONARG AG SRL,INDUSTRIALS
RAP INSTAL SRL,INDUSTRIALS
ZOOMLIFT SRL,INDUSTRIALS
SMART INVESTMENT GROUP S R L,MATERIALS
DORINEL UMBRARESCU,NOT RELEVANT
CROMSTEEL INDUSTRIES S A,NOT RELEVANT
ACCENTURE INDUSTRIAL SOFTWARE SOLUT,INFORMATION TECHNOLOGY
ABO FARM SA,CONSUMER DISCRETIONARY
VOEST BBP SRL,CONSUMER STAPLES
