name,place_category,frequency
Bægsli,elevation,1
Bæir,populated place,1
Bæjardalsá,stream,1
Bæjargróf,stream,1
Bæjarnes,convex shoreline,3
Bæjartjarnir,basin,1
Bæjarvaðall,basin,1
Bæjarvík,concave shoreline,1
Bæjarvötn,basin,1
Bæjará,stream,1
Bæjarás,elevation,1
Bænahús,populated place,1
Bær,populated place,4
Bíldudalur,populated place,1
Bíþolt,elevation,1
Bólstaðarhlíð,populated place,1
Bóndi,convex shoreline,1
Bót,marsh,1
Bótasker,elevation,1
Búfell,elevation,1
Búlandsdalur,depression,1
Búrfell,populated place,1
Búða Banki,underwater elevation,1
Búðardalur,populated place,1
Búðareyri,populated place,2
Búðarháls,elevated area,1
Búðarhólshverfi,populated place,1
Búðir,populated place,2
Býjarsker,populated place,1
Býjasker,populated place,1
Dagmálabunga,elevation,1
Dagmálafjall,elevation,2
Dagmálahlíð,elevation,1
Dagverðarnes,populated place,1
Dalafjall,elevation,1
Dalatangi,convex shoreline,1
Dalkvísl,stream,1
Dalsbunga,elevation,1
Dalsmelar,area,1
Dalsárdrög,marsh,1
Dalur,populated place,1
Dalvatn,basin,1
Dalvík,populated place,1
Dalöldur,elevation,1
Deild,convex shoreline,1
Deilir,elevation,1
Digranes,convex shoreline,3
Digranesflak,underwater elevation,1
Digrihóll,elevation,1
Digritindur,elevation,1
Dimmifjallgarður,elevated area,1
Disastaðir,populated place,1
Diupivogur,populated place,1
Djúpagilsvatn,basin,1
Djúpalón,basin,1
Djúpavík,concave shoreline,1
Djúpboði,underwater elevation,1
Djúpeyjar,island,1
Djúpiboði,underwater elevation,2
Djúpidalur,populated place,1
Djúpivogur,populated place,1
Djúpseyrarnes,convex shoreline,1
Djúpsker,underwater elevation,1
Dofinsfjöll,elevation,1
Draflastaðir,populated place,1
Dragafell,elevation,1
Dragafjall,elevation,1
Dragatunga,marsh,1
Drangasker,underwater elevation,1
Drangatangi,convex shoreline,1
Drangavík,concave shoreline,1
Drangavíkurdalsvatn,basin,1
Drangavíkurhólmar,island,1
Drangaáll,strait,1
Drangmelalækur,stream,1
Drangsnes,populated place,1
Draugakvísl,stream,1
Dritsker,elevation,1
Drápsker,island,1
Dráttarhryggur,elevated area,1
Dvergasteinn,populated place,1
Dyngjuvatn,basin,1
Dynjandafoss,stream,1
Dynjandi,stream,1
Dynjandifoss,stream,1
Dynjandisfoss,stream,1
Dynjandisvogur,concave shoreline,1
Dynufjall,elevation,1
Dyrhólahverfi,populated place,1
Dísarstaðir,populated place,1
Dýafjallshnjúkur,elevation,1
Dýafjallshnúkur,elevation,1
Dýrafjörður,populated place,1
Dýristindur,elevation,1
Efri Fljótsdrög,stream,1
Efri Núpur,populated place,1
Efri Þverkvísl,stream,1
Efstadalsvatn,basin,1
Efstafell,elevation,1
Efstafellsnes,convex shoreline,1
Egilisstaðir,populated place,1
Egilsstaðir,populated place,1
Egilstaðir,populated place,1
Einangursá,stream,1
Einarsstaðir,populated place,1
Einbúadrög,marsh,1
Einbúi,elevation,1
Einhyrningur,elevation,1
Einiberjaflatir,elevation,1
Einidalstindur,elevation,1
Eiríksnýpa,elevation,1
Eiríksstaðir,populated place,1
Eiðahólmar,island,1
Eiðar,populated place,1
Eiðisvatn,basin,2
Ekrutindur,elevation,1
Eldvatn,stream,1
Eldvatnsós,concave shoreline,1
Ellidaa,stream,1
Elliðavatn,basin,1
Elliðavogur,concave shoreline,1
Elliði,elevation,1
Endahnjúkar,elevation,1
Engidalsfjöll,elevated area,1
Engidalur,populated place,1
Engisfjall,elevation,1
Engjadalsá,stream,1
Engjalækur,stream,1
Ennisá,stream,1
Eskifjörður,populated place,1
Eskiforður,populated place,1
Eskilsey,island,1
Eustri Rangá,stream,1
Evindarhólar,populated place,1
Eyafjörður,concave shoreline,1
Eyarvatn,basin,1
Eyja,concave shoreline,1
Eyjafarðará,stream,1
Eyjafell,marsh,1
Eyjafjarðardalur,depression,1
Eyjafjarðará,stream,1
Eyjafjörður,concave shoreline,1
Eyjarvatn,basin,1
Eyjólfsfjall,elevation,1
Eyrar,populated place,1
Eyrarbakki,populated place,1
Eyrarselsvatn,basin,1
Eyri,populated place,3
Eystra Hólsvatn,basin,1
Eystri,stream,2
Eystri Hjeraðsvötn,stream,1
Eystri Miklalækjarbotnar,marsh,1
Eystri Pollar,basin,1
Eyvafen,marsh,1
Eyvafenskvísl,stream,1
Eyvindarfjarðará,stream,1
Eyvindarhólar,populated place,1
Eyvindarkvísl,stream,1
Eyvindará,stream,3
Fagradalsfjall,elevation,4
Fagrahlíð,elevation,2
Falljökull,glacier,1
Fannlækjarbunga,elevation,1
Far,stream,1
Faxaflói,concave shoreline,1
Faxagil,depression,1
Faxebugt,concave shoreline,1
Feldarvík,concave shoreline,1
Fell,populated place,1
Fellsegg,elevation,1
Fellsfjall,elevation,1
Ferjuás,elevation,1
Fimmvörðuháls,elevated area,1
Finna,concave shoreline,1
Finnafjörður,concave shoreline,1
Finnsboði,elevation,1
Fiskivatn,basin,4
Fitjaá,stream,2
Fitjaásar,elevated area,1
Fjallahöfn,concave shoreline,1
Fjallasíða,elevation,1
Fjalldalur,depression,1
Fjaraðara,stream,1
Fjarðarhorn,populated place,1
Fjarðarsker,underwater elevation,1
Fjarðboði,underwater elevation,1
Fjorðungs,basin,1
Fjórðhungaboði,underwater elevation,1
Fjórðungsalda,elevation,2
Fjórðungur,elevation,1
Fjósabölt,basin,1
Fjósaklettur,elevation,1
Fjörd Deep,concave shoreline,1
Fjörður,populated place,1
Flag,marsh,1
Flataflaga,elevation,1
Flatey,populated place,1
Flateyjarsund,strait,1
Flateyri,populated place,1
Flautagerðisgrynnsli,underwater elevation,1
Flesjartangi,convex shoreline,1
Fljót,marsh,1
Fljótagrunn,underwater elevation,1
Fljótavatn,basin,1
Fljótaá,stream,1
Fljótsalda,elevation,1
Fljótsbotn,basin,1
Flotavatn,basin,1
Flugumijri,populated place,1
Flugumýri,populated place,1
Flyðrusker,underwater elevation,1
Fláajökull,glacier,1
Flár,elevated area,1
Flóagaflshverfi,populated place,1
Flóðið,basin,1
Flöguhnúkur,elevation,1
Flöguás,elevation,1
Flötufjöll,elevation,1
Fnjosk,stream,1
Fnjóská,stream,1
Folafótur,populated place,1
Folakvísl,stream,1
Folavatn,basin,1
Fontrinn,convex shoreline,1
Fornastaða,elevation,1
Forviðarfjall,elevation,1
Fossahlíð,elevation,1
Fossfjörður,concave shoreline,1
Fossgil,depression,1
Fossvogr,concave shoreline,1
Fossvík,concave shoreline,1
Fossárdrög,stream,1
Fossárfell,elevation,1
Fossártunga,elevation,1
Fossárvík,concave shoreline,1
Fragradala,elevation,1
Frakkavatn,basin,1
Fremra Deildarvatn,basin,1
Fremra Sandfell,elevation,1
Fremsta Rjúkandi,stream,1
Fremstabotnstindur,elevation,1
Fremstidalur,depression,1
Fróðárdalur,depression,1
Fuglabjargaá,stream,1
Furu,concave shoreline,1
Furudalur,depression,1
Furufjördr,concave shoreline,1
Furufjörður,populated place,1
Fálkafoss,stream,1
Fáskrúdsfhörður,concave shoreline,1
