name
"GLAMOUR Distribution.SK, s.r.o."
ELESKO TOKAY a. s.
Varholikova Eva
"Diossy Stefan, Ing."
"Arbet Ladislav, PhDr., CSc."
Hydroholding H2 a. s.
"AUTOTEST BRATISLAVA, s.r.o."
"SLAVIA CAPITAL, a.s."
"Lizak Peter, JUDr."
"Fabricky Jan, Ing."
VERIVAN s.r.o.
K&K Pharmacy V. s. r. o.
"Majska Eva, Ing., PhD."
"Lankwitzer Slovensko, s.r.o."
Gal Alexander
"Vrbensky Rastislav, Mgr., PhD."
"MOVITA, spol. s r.o."
"Jencik Patrik, Ing."
"Homza Jozef, MUDr."
MIDAPA s.r.o.
"Botka Jozef, MUDr."
"Ouzky Daniel, Ing."
Skrovan Vladimir
Slovensky vybor pre UNICEF
"Across Private Investments, o.c.p.,"
Ing. Miroslav Piskla - MPL
Compel Jan
"Pakh Frantisek, Ing."
"Selmani Musah, Mgr."
"Budinsky Jozef, Ing."
Narodna obchodna agentura
"TechStahlHandel, spol. s r. o."
"Zackova Michaela, Ing."
Hatala Dusan
"Kanik Ludovit, Ing."
"ZOS Bezpecnost, spol. s r.o."
Jozef Simek - Autotransport SIKO
Kubek Jaroslav
Zarecky Jan
European Automotive Technology Cent
Slovak Association of Deer Farming
Voltalia Central & Eastern Europe
CK INTER-NESK s.r.o.
Poltarsky Peter
Bortlik Oto
"Bajanik Tibor, Ing."
"Neveri Alexander, Ing."
"Tatra Real Trade, a.s."
"EFIM, s.r.o."
"Guderna Roman, Ing."
Boronia project development
"REAL INVESTMENT & TRADING, S.R.O."
"Posonium Optik, s.r.o"
Group Alicausi Seat 
SPED-TRANS s.r.o.
SA Energy s.r.o.
Urban Patrik
PLUS MM s. r. o. v likvidacii
FERROTOUR a.s.
SPRAVBYTKOMFORT a.s. Presov
"DigiTel HS Slovakia, s.r.o."
Artmedia New Europe s. r. o.
"Kasper Jan, Ing."
"Trouw Nutrition Slovakia, s. r. o."
"Garnet Peers, s.r.o."
"Hrasko Ladislav, RNDr."
GEOstatik a.s.
"GRS, s.r.o. v likvidacii"
"Gocnik Miroslav, Ing."
R3 SERVEX s.r.o.
Tanuska Dusan
"Vrbican Pavel, Ing."
ACORD plus spol. s r.o.
Csonto Karol
"Sabol Jan, JUDr."
"Pacai Vladimir, Ing."
ABO MILL s.r.o.
"Barter Natalia, Mgr."
"Cernak Martin, Bc."
"Weissova Zuzana, Mgr."
Chupac Lubomir
ZENTAX s.r.o.
Kubala Xenia
Nadacia Pontis
WIGO SK s. r. o.
"DAN AGRO HOLDING, s.r.o."
"FABIANOVA MARIA, PHDR. SPEKTRUM"
"Garec Jozef, Ing."
"Vanko Miroslav, MVDr."
Child Iain
HYDRONIKA NOVA a.s.
CSAKOM S R O
"Salamander CR, spol. s r.o."
"Bonda Peter, Ing."
Kovacik Jan
"Spiak Jan, Ing."
"Svigar Vladimir, JUDr."
Lazar Tomas
Hornak Milan
Cementaren Lietavska Lucka a.s.
"A - P Partners, spol. s r.o."
"Kridla Jan, JUDr."
Miestna akcna skupina Vrsatec
GROUP CHEMKO
"Murgas Miroslav, Ing."
"Augustin Peter, Ing."
Mobil Centrum spol. s r.o.
"GIRTABO TRADING, s.r.o."
Domov seniorov Krasna horka
"Krejci Igor, Ing."
"Kossar Ladislav, Mgr."
"Belko Rudolf, Ing."
GROUP  Trabelssie George
Group Pales Rudolf
IBM Malta Limited
Polnohospodarske druzstvo SVABOVCE
"APEX Services, s.r.o."
"Sovis Frantisek, Ing., CSc."
Hanuliakova Janka
ProPharma Group s.r.o.
"Kovac Jozef, RNDr."
"Sandtner Frantisek, Ing."
"PANORAMA SPORT HOTEL, a.s."
"Bugan Martin, Mag."
"Slanina Marek, Ing."
"Hrabovsky Vladimir, MVDr."
ITB Trade s.r.o.
PRESSKAM S R O
Real 4 You Beta s. r. o.
GROUP COMPEL
"FR-INVEST Hranicna, s.r.o."
wigo gottschligg s.r.o.
"DIXIA SOLLARIS, s.r.o."
SCRAP METAL s.r.o.
TOTH JAN
"Kriska Jan, Ing."
"Hajtman Milan, Ing."
"IHCC, s.r.o."
"LR TRADE, s r.o."
"Szoke Stefan, PhDr."
"Niznik Stefan, Ing."
"MUZIKAL, s.r.o."
A-TRANS spol. s r.o.
Stavomontaze Trnavka a.s.
"SPEKTRUM GRAFIK, a.s."
"CEDC Investment, a.s."
"Bozek Jozef, Ing."
"Simkovic Pavol, Ing."
"SOTRADE, s.r.o."
"Mariani Pablo, Ing."
Durov Juraj
Ubovic Dusan
Kertesz Roland
"Valentova Jana, PaedDr."
PANDA Corporation s.r.o.
Neubeller Martin
Ing. Jan Plandora - POLYGON
"Hatalcikova Mariena, Ing."
"Grobarcik Rastislav, Ing."
"Nad Lubos, Mgr."
"AQUAPLASTIK, s.r.o."
"KRONOS TC, a.s."
"REAL SERVIS, spol. s r.o."
"Drgon Vojtech, Ing., CSc."
Cabanik Miroslav
U. S. Steel Kosice - Labortest
MASTERGLASS s.r.o.
"Brecely Roman, Ing."
Vintage Bistro s.r.o.
Nevelos Richard
SEZAMA S.R.O. - technikai számla
Scheuch s.r.o.
"CHIRANA - PREMA TRADE, s.r.o."
Breder Juraj
"Klocokova Eva, Ing."
"Majernik Jan, Ing. Mgr."
Heuristic management s. r. o.
"Stevcik Radoslav, Mgr."
Kosaruk Rastislav
"Miskov Marian, Ing."
"Havier Peter, Ing."
"Suchonova Katarina, JUDr."
"Prington Leasreal, spol. s r.o."
"NS ACM, spol. s r.o."
MiddleCap Services a.s.
"DIGITEL HS Rimavska Sobota, s.r.o."
"Bobik Peter, Mgr."
"Blaskova Maria, Ing."
"Compass Vacation Club, s.r.o."
Moravcik Cyril
"Slanina Igor, Mgr."
SlovTan
"Kubosek Pavol, RNDr., CSc."
"Klocok Vladimir, Ing."
"Patassy Tibor, Ing."
Toolpol s.r.o.
"DUBRAVA GROUP, a.s."
Enee Arnaud Charles
K&K Pharmacy II. s. r. o.
"Starmedia, s. r. o."
"DAN Slovakia, spol. s r.o."
"Sutka Alojz, Ing."
"Lafarge Slovakia, s. r. o."
PETRASTAV s.r.o.
"GEOINVEST, s.r.o."
"Varga Peter, Ing."
Juhasova Jana
"Hlavenkova Renata, Ing."
"BRATISLAVSKA INVESTICNA, a.s."
"Salat Jaroslav, Ing."
MIKIARA JAN
"OCR, s.r.o."
"Vaross Martin, Mgr."
"Steckova Bronislava, Mgr."
Varga Peter
Trencianska nadacia
"Vizeum Slovakia, s.r.o."
"ELVe sped, s.r.o."
"Csiba Family Farm, s.r.o."
Durcek Richard
INVESTMENT CONSULTIN INTERNATIONAL
TRADE TRANS RAIL s.r.o.
Ivan Toman - TILIA
"Kovac Martin, MUDr."
Sykora Jaroslav
"Kolcun Michal, Prof., Ing., PhD."
Vyskumny ustav hutnickej keramiky
Sillo Jozef
K.T. spol. s r.o.
"ISAB, s.r.o."
SLOVAKTUAL s.r.o.
Jarosova OC s. r. o.
"Hordos Dusan, Ing., PhD."
"Hajdu Jozef, Ing."
"TEKOZ, spol. s r.o."
ANNEXUS s.r.o.
Danis Ivan
"Urban Peter, Ing."
Urban Jan
Fabricka Maria
"Lazar Michal, JUDr."
"Distrib Capital, s.r.o."
"Matusica Jozef, Ing."
FINAGRO spol. s r.o.
"FSK Slovakia, s. r. o."
Euronet Services Slovakia
"Limousine Services, s.r.o."
Murgasova Anna
Mala Lubica
"Sill Mikulas, Ing."
Jankovic Peter
BAMAK S R O
AGRITOURS Slovakia
Kovex - druzstvo
"Grolmus Roman, Ing."
"ZVT-PREVIS, a.s."
CORTE spol. s r.o.
"Fedic Ladislav, Ing."
"Kassovic Ivan, Ing."
"Chomo Peter, Ing."
"Balaz Peter, Ing., prof. PhD."
"Hvorecky Stefan, Ing."
DEMIFOOD spol. s r.o.
BILLA REALITY SLOVENSKO
"Debrecky Jozef, Ing."
"Galbavy Michal, Mgr."
"PAND, s.r.o."
SEZ Krompachy a.s.
"AGRO-NOVA, druzstvo ""v likvidacii"""
"Weber Richard, Ing."
Farma HYZA a.s.
Zachar Milan
"Prodet, s.r.o."
"Barat Ernest, Ing."
Drab Oliver
"DP Vrbove, druzstvo"
"Milcik Stefan, Ing."
"Srnakova Maria, Ing."
Sajko Vojtech
"Rehus Stanislav, Ing."
"Laho Benedikt, Ing."
"Pospisil Jozef, RNDr."
Vyskumny ustav papiera a celulozy
STRAZAN INTERNATIONAL s. r. o.
HKS-horninove konstrukcie a stavby
"ELAS, spol. s r.o."
"P.I.M. Slovakia, a.s."
"TAM Properties, a.s. v likvidacii"
"TIMED, s.r.o."
"PENZION, stavebne druzstvo"
"Spano Peter, Ing."
"Duska Richard, Ing."
"Narsansky Robert, Ing."
DP cafe s.r.o.
"QEX, a.s."
Maintenay Eric
"Macsadi Stefan, Ing."
"Panelaren Vrakuna, a.s."
POLYGRAF PRINT spol. s r.o.
Miramar s.r.o.
"Skubla Tomas, Mgr."
"Suchan Michal, Ing."
"TYRNAVIA OPTIK, s.r.o."
Slamka Milos
"Vrtich Vaclav, Ing."
"Patras Peter, Ing."
"PD Gbely, a.s."
