place_category,separate_ending,frequency
convex shoreline,<NONE>,2
basin,<NONE>,136
elevation,<NONE>,263
stream,<NONE>,102
elevated area,<NONE>,12
island,<NONE>,5
depression,<NONE>,12
marsh,<NONE>,62
populated place,<NONE>,807
elevation,Akmens,36
elevation,Atsegumi,4
elevation,Atsegums,3
elevation,Augstiene,3
basin,Dzirnavezers,36
basin,Dīķi,16
basin,Dīķis,124
basin,Ezeri,4
basin,Ezeriņi,2
basin,Ezers,213
marsh,Ezers,4
basin,Ežeras,2
elevation,Iezis,19
elevated area,Kalni,48
elevation,Kalniņš,36
elevation,Kalns,550
elevation,Kalva,6
elevation,Klintis,9
elevation,Klints,8
elevation,Kolns,7
elevation,Krauja,4
populated place,Krogs,3
depression,Leja,10
populated place,Muiža,37
elevated area,Pacēlums,3
elevation,Pakalne,3
elevation,Pilskalns,70
marsh,Pors,3
marsh,Purs,5
marsh,Purviņš,7
basin,Purvs,2
marsh,Purvs,159
populated place,Pusmuiža,4
marsh,Pūreņš,3
marsh,Pūrs,40
convex shoreline,Sala,6
island,Sala,17
marsh,Tīrelis,4
area,Zemiene,2
