place_category,separate_ending,frequency
basin,<NONE>,15
convex shoreline,<NONE>,2
depression,<NONE>,19
elevated area,<NONE>,54
elevation,<NONE>,150
populated place,<NONE>,367
stream,<NONE>,230
basin,Adzysh,2
populated place,Apsua,2
stream,Atsgara,2
elevation,Khu,2
stream,Kvara,3
