place_category,separate_ending,frequency
basin,<NONE>,12
depression,<NONE>,28
elevated area,<NONE>,85
elevation,<NONE>,318
stream,<NONE>,305
island,<NONE>,2
populated place,<NONE>,409
populated place,Aul,4
populated place,Chu,2
elevation,Dag,2
populated place,Evl,2
populated place,Evla,2
populated place,Jurt,7
elevation,Kal,3
populated place,Kala,2
populated place,Khotar,3
elevation,Kort,8
elevation,Lam,3
populated place,Moxk,4
stream,Or,2
stream,Ssu,2
elevation,Tavi,2
stream,Xi,2
stream,Yelgi,2
populated place,Yurt,18
