name,industry
KOMUNALAC D.O.O. ZUPANJA,NOT RELEVANT
VITO BILIC D.O.O.,NOT RELEVANT
"A B KERAMIKA, VL. ANTE BAUTOVIC",NOT RELEVANT
CENTRAL D. O. O.,NOT RELEVANT
MARLY COMMERCE D.O.O.,NOT RELEVANT
BETEX PROIZVODNJA D.O.O.,NOT RELEVANT
RCI USLUGE D.O.O.,CONSUMER DISCRETIONARY
MEDIA-PRESS.TV ADRIA D.O.O.,CONSUMER DISCRETIONARY
AUTO-KNEZ D.O.O.,CONSUMER DISCRETIONARY
"SILK ADRIA, D.O.O.",NOT RELEVANT
ZENELI D.O.O.,CONSUMER STAPLES
EKO MODUL D.O.O.,INDUSTRIALS
SUBGROUP PLIVA,HEALTH CARE
RUNIT D.O.O.,HEALTH CARE
Cirus D.O.O,CONSUMER DISCRETIONARY
GLAM FOR YOU D.O.O.,NOT RELEVANT
NAJ 95 D.O.O.,NOT RELEVANT
VMD MODEL D.O.O.,REAL ESTATE
HEP - UPRAVLJANJE IMOVINOM D.O.O.,UTILITIES
"MARASKA D.D.,ZADAR",CONSUMER STAPLES
SVIJET MEDIJA D O O,CONSUMER DISCRETIONARY
LOCUSTA OPUS D.O.O.,FINANCIALS
CRIPPACAMPEGGIO D.O.O.,REAL ESTATE
GRUPA VERN D.O.O.,CONSUMER DISCRETIONARY
VAR D.O.O,INDUSTRIALS
ORA SKY D.O.O.,REAL ESTATE
CESTE D.D.,INDUSTRIALS
TO-KA-BU D.O.O.,INDUSTRIALS
MEDIA DIRECTION D.O.O.,NOT RELEVANT
BRIJUNI RIVIJERA D. O. O.,REAL ESTATE
KLINICKI BOLNICKI CENTAR OSIJEK,NOT RELEVANT
STIV D.O.O.,NOT RELEVANT
NAVIGARE YACHTING D.O.O.,CONSUMER DISCRETIONARY
KOVA D.O.O.,INDUSTRIALS
VIRTUOZ USLUGE D.O.O.,CONSUMER DISCRETIONARY
SCAN PROJEKT D.O.O.,INDUSTRIALS
LOGISTA D. O. O.,CONSUMER DISCRETIONARY
KONCAR - SISTEMSKE INTEGRACIJE D.O.,INFORMATION TECHNOLOGY
MESKAL D.O.O.,NOT RELEVANT
OBITELJSKI DOM ZA DJECU BEZ ODGOVAR,NOT RELEVANT
MONTE D. O. O.,NOT RELEVANT
HELEA D.O.O.,NOT RELEVANT
BARTOL D.O.O.,MATERIALS
ARG D.O.O.,NOT RELEVANT
SIKA D.O.O.,INDUSTRIALS
TROMONT D.O.O.,INDUSTRIALS
BIOPLIN-MAKS D.O.O.,UTILITIES
VERDISPAR INTERNATIONAL  D.O.O.,INDUSTRIALS
HOLCIM MINERALNI AGREGATI D.O.O.,NOT RELEVANT
HIR D.O.O.,NOT RELEVANT
RUKOTVORINE ISTRA D.O.O.,NOT RELEVANT
H & M HENNES & MAURITZ D.O.O.,CONSUMER DISCRETIONARY
ECO RESORTS D.O.O.,CONSUMER DISCRETIONARY
TOYOTA CROATIA D.O.O.,CONSUMER DISCRETIONARY
SIROVINA BENZ D.O.O.,ENERGY
PRINTEC CROATIA D.O.O.,INFORMATION TECHNOLOGY
GROUP AURO,MATERIALS
FERO-TERM D.O.O.,CONSUMER DISCRETIONARY
KONCAR - DIGITAL D.O.O.,INFORMATION TECHNOLOGY
SIMECKI D.O.O.,NOT RELEVANT
URBAN JUNGLE FILM I VIDEO PRODUKCIJ,NOT RELEVANT
AMT VL. ALDO MATIC,NOT RELEVANT
"JOSIP ZUPANAC, PICOBELA- OBRT",NOT RELEVANT
KORDUN-LAV DOO OZALJ,INDUSTRIALS
ISTRA GOLF DIZAJN D.O.O.,CONSUMER DISCRETIONARY
VISOKOGRADNJA D.O.O.,NOT RELEVANT
MEP Pluto d.o.o.,CONSUMER STAPLES
KOMING D.O.O.,INDUSTRIALS
MOBIL LEASING D.O.O.,CONSUMER DISCRETIONARY
BUDI PAMETAN D.O.O.,CONSUMER DISCRETIONARY
ISP D.O.O. ZAGREB,NOT RELEVANT
ATLANTIC DROGA KOLINSKA D.O.O.,CONSUMER STAPLES
TRAG D.O.O.,INDUSTRIALS
KD GRAD D.O.O.,NOT RELEVANT
SV GROUP D.O.O.,NOT RELEVANT
ESTARE CULTO - MODNA ODJECA D.O.O.,NOT RELEVANT
"CROATEL,D.O.O.",CONSUMER DISCRETIONARY
ESSILOR OPTIKA D.O.O.,INDUSTRIALS
GO2DIGITAL D.O.O.,COMMUNICATIONS
IZOLACIJA D.O.O.,INDUSTRIALS
VODOPRIVREDA NOVSKA D.O.O.,INDUSTRIALS
GROUP HIS,INDUSTRIALS
MARINE AND ENERGY SOLUTIONS DIV D.O,INDUSTRIALS
"MARKO SMOLIC, VL. MARKO SMOLIC",NOT RELEVANT
BANJOLE D. O. O.,NOT RELEVANT
CUBESERV D.O.O.,INFORMATION TECHNOLOGY
TIS-KORIS.INF.SUST.D.O.O.,NOT RELEVANT
BIOLAB D.O.O.,NOT RELEVANT
HOSPITALIJA TRGOVINA D.O.O.,HEALTH CARE
EKO GRADNJA KONSTRUKCIJE D.O.O.,MATERIALS
ELOS D.O.O.,CONSUMER DISCRETIONARY
GRIP GRADNJA D.O.O.,REAL ESTATE
DUBROVACKI VJESNIK D.O.O.,CONSUMER DISCRETIONARY
B2B D.O.O.,CONSUMER DISCRETIONARY
O.P.G. JAKSIC IVAN,CONSUMER STAPLES
BIRIN D.O.O.,NOT RELEVANT
REZIDENCIJA MERIDIJAN D.O.O.,REAL ESTATE
LJEKARNE PRIMA PHARME,CONSUMER STAPLES
ASTA ZAGREB D.O.O.,NOT RELEVANT
MULL-TRANS D.O.O.,INDUSTRIALS
HOTEL SPLIT D.D.,CONSUMER DISCRETIONARY
EURO-ROAL D.O.O.,INDUSTRIALS
Vitality Bidco,CONSUMER DISCRETIONARY
DURO DAKOVIC SPECIJALNA VOZILA D D,INDUSTRIALS
OPCA BOLNICA ZADAR,NOT RELEVANT
MAX VL. DAMIR CUJO,NOT RELEVANT
ZFR KOVACIC OBRT VL.ZDENKO KOVACIC,NOT RELEVANT
GROUP PEVEC,CONSUMER DISCRETIONARY
RAKOVICA D.O.O.,INDUSTRIALS
PREMIUM DISTRIBUCIJA D.O.O.,CONSUMER STAPLES
ELCON D.D.,NOT RELEVANT
ICC GRADNJA D.O.O.,NOT RELEVANT
VINDON D.O.O.,NOT RELEVANT
VELECOMMERCE D.O.O.,NOT RELEVANT
JADRANKA TURIZAM D.O.O.,CONSUMER DISCRETIONARY
CESTE D.D,INDUSTRIALS
S&T CARRIER BUSINESS D.O.O.,INFORMATION TECHNOLOGY
"SPECIJALNA OPREMA, D.O.O.",INDUSTRIALS
APCOM D.O.O.,INFORMATION TECHNOLOGY
DOGUS CROATIA D.O.O.,INDUSTRIALS
POLIKLINIKA ZA OFTALMOLOGIJU I OTOR,HEALTH CARE
AKTIVAL D.O.O.,CONSUMER STAPLES
UREDNOST DRUSTVO S OGRANICENOM,UTILITIES
TEMPRA D.O.O.,NOT RELEVANT
ELECTRUM D.O.O.,NOT RELEVANT
DALMI D.O.O.,NOT RELEVANT
FRATEA D.O.O.,INDUSTRIALS
REAL ESTATE EAST D.O.O.,REAL ESTATE
"STUBLIC IMPEX, D.O.O.",CONSUMER DISCRETIONARY
CROMAX D.O.O. SLAVONSKI BROD,INDUSTRIALS
GROUP STORM COMPUTERS,INFORMATION TECHNOLOGY
SOLARIS PONS D.O.O.,INDUSTRIALS
GROUP BULLESBACH,INDUSTRIALS
KLESARIJA POVLJANA VL.NEBOJSA DORDE,NOT RELEVANT
SUBGROUP DURO DAKOVIC CONSOLIDATED,INDUSTRIALS
GIMNASTICKI KLUB SOKOL SLAVONSKI BR,INDUSTRIALS
LIBURNIA USLUGE U POMORSTVU D.O.O.,INDUSTRIALS
BUSINESS CENTER COTRA D.O.O.,REAL ESTATE
ROBIN D.O.O.,CONSUMER STAPLES
"METRO CASH & CARRY, D.O.O.",CONSUMER STAPLES
TMC FRIGO D.O.O.,INDUSTRIALS
HEP-DISTRIBUCIJA D.O.O. DISTRIBUCIJ,NOT RELEVANT
PPK GRADNJA D.O.O.,NOT RELEVANT
INFO-FORUM D.O.O.,NOT RELEVANT
LIPIC D.O.O.,NOT RELEVANT
ZUPANIJSKA LUCKA UPRAVA KORCULA,INDUSTRIALS
DVD DONJA STUBICA,INDUSTRIALS
POLJOPRIVREDA STANCI D.O.O.,CONSUMER STAPLES
KUHINJA D.O.O.,NOT RELEVANT
INSAKO D.O.O.,CONSUMER STAPLES
MESNICA BUNCEK VL. RANKO NOVAKOVIC,NOT RELEVANT
"F.L.T. PROIZVODNJA I TRGOVINA,VL. D",NOT RELEVANT
RIJEKA ALUMINIJ D. O. O.,INDUSTRIALS
RM - TECH D.O.O.,REAL ESTATE
GROUP PASTOR,INDUSTRIALS
CITO FRESH LOGISTIKA D. O. O.,INDUSTRIALS
UP CENTRAL D.O.O.,REAL ESTATE
SUBGROUP ZAGREBACKI HOLDING,UTILITIES
SEMMELROCK D.O.O.,MATERIALS
ATEA D.O.O.,NOT RELEVANT
RONIS D.O.O.,CONSUMER DISCRETIONARY
GROUP HIDROCOM,INDUSTRIALS
MIHOLJACKI VODOVOD D.O.O.,UTILITIES
EURO STAFF D.O.O.,INDUSTRIALS
AUTOPRIJEVOZNICKI I TRGOVACKI OBRT,NOT RELEVANT
"DAVOR FABIC, IZRADA PLASTICNE GALAN",NOT RELEVANT
"MILJENKO PIRSIC, APT SERVIS- AUTOPR",NOT RELEVANT
SPEC. INTERN. ORDINACIJA DR.T.KONCU,NOT RELEVANT
GROUP DELT PAPIR,CONSUMER DISCRETIONARY
HOTEL LAPAD D.O.O.,CONSUMER DISCRETIONARY
TRGOCENTAR D.O.O.,NOT RELEVANT
SANA D.O.O.,INDUSTRIALS
DUBROVNIK AIRLINE D.O.O.,INDUSTRIALS
SEDLIC D.O.O.,CONSUMER STAPLES
NAVIGO D.O.O.,INDUSTRIALS
CARL ZEISS D.O.O.,HEALTH CARE
UNIMER D.O.O.,NOT RELEVANT
CELING D.O.O.,REAL ESTATE
RAJKOVIC D.O.O.,CONSUMER DISCRETIONARY
PETRUZALEK D.O.O.,INDUSTRIALS
UNIKOMERC-AUTOMOBILI D.O.O.,CONSUMER DISCRETIONARY
MINEA D.O.O.,CONSUMER DISCRETIONARY
TUROPOLIS D.O.O.,CONSUMER DISCRETIONARY
JADROLINIJA,INDUSTRIALS
MAGEL D.O.O.,MATERIALS
BORIS TRADE D.O.O.,NOT RELEVANT
POWERGLOBE IKE,UTILITIES
KOS INVEST D.O.O.,REAL ESTATE
QUERCUS-ENERGIJA D.O.O.,UTILITIES
YACHT CENTAR BAOTIC D.O.O.,CONSUMER DISCRETIONARY
"POSREDOVANJE I TRGOVINA PARTNER, VL",NOT RELEVANT
CENTAR ZAPAD D.O.O.,CONSUMER DISCRETIONARY
VIOLA D.O.O.,FINANCIALS
IKS-P VL.IVANA PERKOVIC,NOT RELEVANT
EURO-ALFA D.O.O.,CONSUMER STAPLES
IDA D. O. O.,NOT RELEVANT
AUTO HRVATSKA AUTODIJELOVI D.O.O.,CONSUMER DISCRETIONARY
ASEE SOLUTIONS D.O.O.,INFORMATION TECHNOLOGY
EXPERTISE D.O.O. U LIKVIDACIJI,ENERGY
PRVO HRVATSKO PIVO 1664 D.O.O.,CONSUMER STAPLES
VG KOMUNALAC D.O.O.,INDUSTRIALS
IMPROM D.O.O.,NOT RELEVANT
GROUP ZLATARNA CELJE,CONSUMER DISCRETIONARY
SIMSON D.O.O.,NOT RELEVANT
VIDONI D.O.O.,NOT RELEVANT
STUDEN & CO D.O.O.,CONSUMER STAPLES
STROJOTEHNIKA D.O.O.,INDUSTRIALS
GROUP BOMARK,MATERIALS
GROUP ZM,INDUSTRIALS
GROUP INEM,CONSUMER DISCRETIONARY
SUBGROUP BELUPO,HEALTH CARE
KONECRANES D.O.O. - PODRUZNICA ZAGR,INDUSTRIALS
KAMGRAD OBJEKTI D.O.O.,REAL ESTATE
GROUP TOMMY,CONSUMER STAPLES
AUTO CENTAR DUO D.O.O.,CONSUMER DISCRETIONARY
NABLA PLUS D.O.O.,INDUSTRIALS
EUROMODUL D. O. O.,MATERIALS
HIPOKRAT LIFESTYLE D.O.O.,CONSUMER DISCRETIONARY
LAV AUTO-POPEC D.O.O.,NOT RELEVANT
MARINA NEREZINE D.O.O.,NOT RELEVANT
"BRANKA FUGOSIC, VEBRA KRK, VL. BRAN",NOT RELEVANT
DINEL D.O.O.,NOT RELEVANT
HRCAK D.O.O.,NOT RELEVANT
INTERAUTO D.O.O. - U LIKVIDACIJI,NOT RELEVANT
LIPOVAC D.O.O.,NOT RELEVANT
GROUP EUROM,CONSUMER DISCRETIONARY
SLAVONIJA ZUPANJA D.D.,CONSUMER STAPLES
VOCNJAK D.O.O.,CONSUMER STAPLES
O.P.G. BOSNJAK ROBERT,CONSUMER STAPLES
CHRONO D.O.O.,HEALTH CARE
BRICOSTORE NEKRETNINE ZITNJAK D.O.O,REAL ESTATE
"ADLER, VL. ANTO KULIS",CONSUMER DISCRETIONARY
M.D.AUTO D.O.O.,NOT RELEVANT
CENTROGRADNJA D.O.O.,NOT RELEVANT
MIM BOSKOVIC D.O.O.,NOT RELEVANT
CONING ALFA D.O.O.,NOT RELEVANT
FEST D.O.O.,NOT RELEVANT
PLESO PRIJEVOZ prijevoznicke us,NOT RELEVANT
PFEFFERLE D. O. O.,NOT RELEVANT
"TRANSPORT-COMMERCE, D.D.",INDUSTRIALS
DANICA D.O.O.,CONSUMER STAPLES
GRA-PO D.O.O.,INDUSTRIALS
