CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
GROUP KAMIT,RU,INDUSTRIALS
Miklósmajori Mezõgazda Kft.,HU,CONSUMER STAPLES
SUBGROUP WI NYRT al,HU,INDUSTRIALS
Varda Projekt Kft.,HU,CONSUMER STAPLES
DELTA ELECTRONICS SLOVAKIA S R O,SK,INDUSTRIALS
ITF ENHANCING HUMAN SECURITY,AF,NOT RELEVANT
H H ENERGY S R O,CZ,MATERIALS
AF 'YuNIVERSAL MOTORZ HRUP',UA,CONSUMER DISCRETIONARY
Forbo Eurocol Rus,RU,MATERIALS
"""KORLEA"" D.O.O.",BA,UTILITIES
ZENELI D.O.O.,HR,CONSUMER STAPLES
NAY CZ S R O,CZ,CONSUMER DISCRETIONARY
GROUP KM- TSENTR,RU,INDUSTRIALS
CITADIN ZALAU SRL,RO,INDUSTRIALS
"TOV ""Ap Import""",UA,MATERIALS
TD KA OOO,RU,INDUSTRIALS
SINTRONIC - U PRINUDNOJ LIKVIDACIJ,RS,CONSUMER DISCRETIONARY
TOV Ahro-Vidrodzhennya,UA,CONSUMER STAPLES
TOV 'KERChENSKYI STRILOChNYI ZAVOD',UA,NOT RELEVANT
LOGGIA INDUSTRIA VOPSELEI SRL,RO,NOT RELEVANT
"KERKO - Kamenina, a.s.",SK,NOT RELEVANT
LLC VOLMA - Voskresensk,RU,MATERIALS
CANKOVA MILUSKA,CZ,NOT RELEVANT
PANTRADE D.O.O.,SI,NOT RELEVANT
TRANSCOM TRS Kereskedelmi és Szolgá,HU,FINANCIALS
PAVLOVO BUS PLANT LIMITED,RU,CONSUMER DISCRETIONARY
JV Vitmark-Ukraine LLC,UA,CONSUMER STAPLES
GROUP MG MIND,BA,INDUSTRIALS
Tibor Stefanik - NOBA - SMOKER,SK,NOT RELEVANT
I.G. REAL ESTATE SPA,IT,MATERIALS
EKO MODUL D.O.O.,HR,INDUSTRIALS
VOLGANEFTEPRODUKT,RU,CONSUMER DISCRETIONARY
SV Terronska 659,CZ,REAL ESTATE
OOO ALMAZ UDOBRENIYA,RU,MATERIALS
SUBGROUP PLIVA,HR,HEALTH CARE
RUNIT D.O.O.,HR,HEALTH CARE
LACUL CODRILOR SRL,RO,MATERIALS
"POHOTOVOST, s.r.o.",SK,FINANCIALS
GROUP VEGA NURETDINOV,RU,CONSUMER DISCRETIONARY
GTH FINANCE B.V.,EG,COMMUNICATIONS
"NOVATISK, a.s.",CZ,INDUSTRIALS
BARDEJOVSKE KUPELE a. s.,SK,HEALTH CARE
GROUP Alians Krasy,UA,CONSUMER STAPLES
WOJNAR Immobilien GmbH,AT,NOT RELEVANT
STICHAUER JIRI,CZ,NOT RELEVANT
TYLEX LETOVICE A.S.,CZ,CONSUMER DISCRETIONARY
Endava Plc,GB,INFORMATION TECHNOLOGY
MEDEKO CAST s.r.o.,SK,NOT RELEVANT
TOP MOTORS,RO,NOT RELEVANT
"TOV ""TERMINAL NAFTA""",UA,ENERGY
"TOV ""Barrik""",UA,CONSUMER STAPLES
Bódis Lajos,HU,NOT RELEVANT
SC PANIMON SA,RO,CONSUMER STAPLES
DOO TEHNOGRAD SISTEM KRALJEVO,RS,MATERIALS
LIN - PROJEKT SH.P.K.,XK,FINANCIALS
LUISSER Transport GmbH,AT,INDUSTRIALS
TGD k. s.,SK,INDUSTRIALS
STS Technology Kft.,HU,NOT RELEVANT
MSV STUDENKA s.r.o.,CZ,NOT RELEVANT
HÍRÖS-BRÓKER Biztosítási Alkusz és,HU,NOT RELEVANT
KERBER OOO,RU,NOT RELEVANT
"Stein, s.r.o.",SK,NOT RELEVANT
"TOV ""ShlLaKhovyk-97""",UA,NOT RELEVANT
Pretium XXI Ingatlanforgalmazó Kft.,HU,NOT RELEVANT
SET MAGAZINOV KREPOST OOO,RU,NOT RELEVANT
AO ZOK,RU,MATERIALS
Cirus D.O.O,HR,CONSUMER DISCRETIONARY
"Jancik Jaroslav, Ing.",SK,NOT RELEVANT
