CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
SONERG CONSTRUCT SRL,RO,CONSUMER DISCRETIONARY
KDV KEMEROVO OAO,RU,CONSUMER STAPLES
GROUP SLOBODAN RADUN,RS,CONSUMER STAPLES
CONTANGO DOO-BEOGRAD,RS,MATERIALS
CONSTANTA SHOPPING CITY SRL,RO,REAL ESTATE
INTERNATIONAL AMBULANCE SERVICE Egé,HU,HEALTH CARE
"Mátészalka, Szokolay Örs u. 8-10. s",HU,FINANCIALS
D.H.Log s.r.o.,SK,INDUSTRIALS
SocUtilitas s.r.o,SK,CONSUMER DISCRETIONARY
FMTG Development GmbH,AT,REAL ESTATE
Group Taviany,RO,CONSUMER STAPLES
SUBGROUP Huala Klozhers Interneshnl,UA,MATERIALS
1024. sz. jelû Társasház,HU,FINANCIALS
LORAN OOO,RU,CONSUMER STAPLES
BORI S R O,CZ,REAL ESTATE
VELIKOLUKSKII MOLOCHNYI KOMBINAT,RU,CONSUMER STAPLES
Pelso Szerszámkészítõ Ipari Kereske,HU,NOT RELEVANT
Group ULMA C Y E S COOP.,ES,INDUSTRIALS
AREAL ESSPE S R O,CZ,REAL ESTATE
JERONIMO MARTINS POLSKA SPOLKA,PL,CONSUMER STAPLES
TOV TsENTR RIVNOVAHY,UA,NOT RELEVANT
Unomedical Holding A/S,US,NOT RELEVANT
TRUSTUL DE PRESA DUNAREA DE JOS SRL,RO,CONSUMER DISCRETIONARY
GROUP SMK,RU,CONSUMER STAPLES
Halvorsen Group AS,HU,INDUSTRIALS
NETSAFE SOLUTIONS SRL,RO,CONSUMER DISCRETIONARY
SUBGROUP Ukrpol,UA,MATERIALS
"DP ""Perlyna"" STOV ""Mriya""",UA,CONSUMER STAPLES
Raiffeisen Abwicklungs- und Dienstl,AT,FINANCIALS
Leasing Unterland Gesellschaft m.b.,AT,REAL ESTATE
Group KSB,DE,INDUSTRIALS
"FH ""Burhas""",UA,REAL ESTATE
"PP ""P¿vdenna Loh¿stychna Kompan¿ia""",UA,CONSUMER DISCRETIONARY
TVORNICA SECERA OSIJEK D.O.O.,HR,CONSUMER STAPLES
CASA CONVENIENZA SRL,RO,CONSUMER DISCRETIONARY
Nuclear Engineering Seibersdorf Gmb,AT,INDUSTRIALS
NOSKOV ANDREI VIKTOROVICH (IP),RU,REAL ESTATE
Red Bull Hangar-7 GmbH,AT,CONSUMER DISCRETIONARY
Társasház Zöldlomb u. 2.,HU,FINANCIALS
GLAR CONSTRUCT SRL,RO,INDUSTRIALS
"PROPERTY INTERNATIONAL, A.S.",CZ,CONSUMER DISCRETIONARY
SRG International BV,NL,CONSUMER STAPLES
ECOLAB D.O.O.,HR,CONSUMER STAPLES
"VAT ""Dneprovazhmash""",UA,INDUSTRIALS
Group Marzotto,IT,CONSUMER DISCRETIONARY
AERO NETWORK CONSULTING (ANC,RO,INDUSTRIALS
ALASZKA KERESKEDELMI Kft.,HU,CONSUMER STAPLES
KOMETA OOO,RU,CONSUMER STAPLES
Subgroup AHT,AT,NOT RELEVANT
"TOV ""BF End HKh Trevel Riteil Ltd""",UA,CONSUMER STAPLES
Bliss Tec s.r.o.,SK,INDUSTRIALS
Varholikova Eva,SK,NOT RELEVANT
MORO CHIC DESIGN SRL,RO,NOT RELEVANT
Fõvárosi Közterület-Fenntartó Zártk,HU,NOT RELEVANT
BRENNTAG HUNGÁRIA KERESKEDELMI KFT.,HU,NOT RELEVANT
"REKODOM, s. r. o.",SK,INDUSTRIALS
N.SH.T G&M,XK,NOT RELEVANT
SAUER TOMAS,CZ,NOT RELEVANT
VAN DE VELDE TERMELÕ ÉS KER.KFT,HU,NOT RELEVANT
P-VO OSS KOROSTENSKE VTZP,UA,CONSUMER STAPLES
GROUP Avetra,UA,ENERGY
TRANSPORT-LOGISTICS COMPANY OOO,RU,NOT RELEVANT
OMYA Sp.z.o.o.,AT,NOT RELEVANT
SK SVIAZSTROIKO LLC,RU,NOT RELEVANT
BÕR'DE KFT,HU,NOT RELEVANT
MEGAKALOR Kazángyártó és Szolgáltat,HU,NOT RELEVANT
Haberkorn Mûszaki Termékeket Gyártó,HU,NOT RELEVANT
BINAR JAROSLAV,CZ,NOT RELEVANT
AGRA ZVIKOV SPOL S R O,CZ,CONSUMER STAPLES
BLITS-PRINT,UA,CONSUMER DISCRETIONARY
EASTSHIP PROJECTS & LOGISTICS SRL,RO,INDUSTRIALS
"Eurotransfer, spol. s r.o.",SK,INDUSTRIALS
Haci Ömer Sabanci Holding A.S,TR,INDUSTRIALS
SCP AUTÓ KERESKEDELMI ZRT.,HU,NOT RELEVANT
KEKO - VARICON D.O.O.,SI,INDUSTRIALS
AGROCRIS SOB SRL,RO,CONSUMER STAPLES
IEN MELIKOVA OLGA MIKHAILOVNA,RU,INDUSTRIALS
ÁRKOPÁS VAGYONKEZELÕ KFT.,HU,FINANCIALS
Dkfm.Dr.Koch Herbert,AT,NOT RELEVANT
RANGA VASILE FLAVIUS,RO,NOT RELEVANT
AO SGM,RU,INDUSTRIALS
Constellium Extrusions Levice s.r.o,SK,MATERIALS
GLOBALSTROI OOO,RU,ENERGY
GROUP MIV,HR,MATERIALS
EnerSys Cayman Euro LP,US,INDUSTRIALS
"BS suvenir, s.r.o.",SK,CONSUMER DISCRETIONARY
Polyolefin-Ural LLC,RU,MATERIALS
ZDENEK SKARKA,CZ,CONSUMER DISCRETIONARY
AGROFIRMA GALINSKOE OOO,RU,CONSUMER STAPLES
DSSL-NEVA OOO,RU,INFORMATION TECHNOLOGY
Schmitt Heinz,DE,CONSUMER STAPLES
OOO SKHP ZALESE,RU,CONSUMER STAPLES
BENTELER AUTOMOTIVE SK S R O,SK,CONSUMER DISCRETIONARY
OOO PRAMO,RU,CONSUMER DISCRETIONARY
"Nagykanizsa, Hársfa u. 4. Társasház",HU,REAL ESTATE
RUBIN OOO,RU,CONSUMER DISCRETIONARY
HNAECO S.R.O.,CZ,NOT RELEVANT
IMEL D. O. O.,HR,NOT RELEVANT
TAFÁK ÉPITÕIPARI KERESKEDELMI ÉS SZ,HU,NOT RELEVANT
TIPOGRAFIA SOMESUL,RO,NOT RELEVANT
Óbudai Vagyonkezelõ Nonprofit Zrt.,HU,INDUSTRIALS
AVTOKRAN-TYUMEN' OOO,RU,UTILITIES
DINAMIK GRADNJA D.O.O.,HR,NOT RELEVANT
"Diossy Stefan, Ing.",SK,NOT RELEVANT
ZAT ALTERA FINANS,UA,NOT RELEVANT
STRADA D.O.O.,HR,NOT RELEVANT
AMZ-TEKHNOGEN OOO,RU,MATERIALS
Haiman Tanácsadó Korlátolt Felelõss,HU,NOT RELEVANT
"Arbet Ladislav, PhDr., CSc.",SK,NOT RELEVANT
SAVEZ PROIZVODJACA JAGODICASTOG VOC,BA,INDUSTRIALS
KUIBYSHEVSKAYA DOROZHNAYA PMK,RU,INDUSTRIALS
CANALETTO S.R.O. V LIKVIDACI,CZ,REAL ESTATE
EFTEC SL LOGISTICNE STORITVE D O O,SI,CONSUMER DISCRETIONARY
GROUP ENERGOMERA,RU,INDUSTRIALS
TOPTRANS EU A S ORGANIZACNI SLOZKA,CZ,INDUSTRIALS
"SV domu Cornovova 47, Brno",CZ,REAL ESTATE
Group Element,CH,INDUSTRIALS
DOO SVET MEDIA BEOGRAD,RS,CONSUMER DISCRETIONARY
ZLATARNA AURODENT ZAGREB D.O.O. - U,HR,CONSUMER DISCRETIONARY
TOV AHROFIRMA UKRAINSKE NASINNYa,UA,CONSUMER STAPLES
"LIVET, a.s.",SK,CONSUMER DISCRETIONARY
GEOPIXEL S.A,RO,INFORMATION TECHNOLOGY
"Family Haus-, Wohn- und Familienser",AT,HEALTH CARE
S M DEVELOP S R O,CZ,INDUSTRIALS
"TURCAN DELTA, s.r.o.",SK,INDUSTRIALS
Group Claranet,GB,INFORMATION TECHNOLOGY
MOPEX-TEKUCE ODRZAVANJE DOO BEOGRA,RS,INDUSTRIALS
HB REAVIS HUNGARY Szolgáltató Korlá,HU,REAL ESTATE
FIRMA GALEN,RU,HEALTH CARE
EMBRACO EUROPE s.r.l.,IT,CONSUMER DISCRETIONARY
REAL ESTATE RENT 4 DOO BEOGRAD,RS,REAL ESTATE
"BONUM agro, s.r.o.",SK,CONSUMER STAPLES
OOO SEVERSKOE DRSU,RU,INDUSTRIALS
TRENKWALDER SERVICES,RO,INDUSTRIALS
DUKAGJINI TELECOMMUNICATIONS SH.P.K,XK,COMMUNICATIONS
"PAP ""Dobrobut""",UA,CONSUMER STAPLES
"""CabTec"" Kábelkonfekcionáló és Kész",HU,INDUSTRIALS
"Szentes, Köztársaság u. 11-13. Társ",HU,REAL ESTATE
GROUP CHS Inc.,US,CONSUMER STAPLES
A.C.I. Trading Limited,CY,UTILITIES
MFC Corporate Services GmbH,AT,MATERIALS
SAMOBORKA D.D.,HR,MATERIALS
Group ContourGlobal LP,BG,UTILITIES
CELLDÖMÖLK KOSSUTH U 8.SZ. TÁRSASHÁ,HU,REAL ESTATE
L OREAL BALKAN DOO BEOGRAD,RS,CONSUMER STAPLES
MODERN MINING TECHNOLOGIES L.L.C.,RU,MATERIALS
LOGISTICA-TERMINAL JSC,RU,INDUSTRIALS
VEMI DOO BANJA LUKA,BA,ENERGY
VMF Captial Invest GmbH,AT,REAL ESTATE
SUBGROUP VELAN,RU,INDUSTRIALS
Medinvest,NL,HEALTH CARE
SART LIMITED LIABILITY COMPANY,RU,INDUSTRIALS
"""Hotel Gmachl GmbH""",AT,CONSUMER DISCRETIONARY
OMEGASKAN,RU,INDUSTRIALS
"TOV ""Stail Plius""",UA,CONSUMER DISCRETIONARY
Nestle Slovensko s.r.o.,SK,CONSUMER STAPLES
DARIUS MOTORS SRL,RO,CONSUMER DISCRETIONARY
ZELJO DOO BRCKO,BA,CONSUMER STAPLES
SUBGROUP PAPUK,HR,CONSUMER STAPLES
LAURA FILIA D.O.O.,HR,REAL ESTATE
Czigle Zsolt,HU,NOT RELEVANT
DOM ODEZHDY LLC,RU,CONSUMER DISCRETIONARY
Coveris Flexibles Austria GmbH,AT,MATERIALS
NOVIKOV ALEKSANDR YUR'EVICH,RU,CONSUMER DISCRETIONARY
OOO SAMSON-PERM,RU,CONSUMER DISCRETIONARY
URALMETPROM,RU,MATERIALS
LS HOME DOO KISELJAK,BA,CONSUMER DISCRETIONARY
HARTING S R O,CZ,INFORMATION TECHNOLOGY
Nortex-Construction systems LLC,RU,INDUSTRIALS
DSV ROAD DOO,RS,INDUSTRIALS
GROUP TELECONTACT,RU,INDUSTRIALS
PARRY NEVILLE GEORGE,CZ,NOT RELEVANT
PIKOLA JOSEF,CZ,NOT RELEVANT
MALINA LUX S R L,RO,CONSUMER STAPLES
Setup Event Logisztikai és Keresked,HU,CONSUMER DISCRETIONARY
LIDYA WALNUTS S.A,RO,CONSUMER STAPLES
ILIGAN OOO,RU,UTILITIES
AVTOGRAD-OIL OOO,RU,MATERIALS
GROUP MET,CH,INDUSTRIALS
AGROPROMET D.O.O.,HR,CONSUMER STAPLES
SUBGROUP ROMBUSZ1,RO,CONSUMER STAPLES
Stadtbetriebe Mariazell GmbH,AT,UTILITIES
Varga József,HU,NOT RELEVANT
Parrag Gyuláné,HU,NOT RELEVANT
NORDIC ENERGY HOUSE APS,DK,UTILITIES
TEAM CONSULTING DOO SARAJEVO,BA,INFORMATION TECHNOLOGY
EUKRATE A S,CZ,CONSUMER DISCRETIONARY
DVORANA DOMA SINDIKATA DOO BEOGRAD,RS,COMMUNICATIONS
KARCHER,UA,CONSUMER DISCRETIONARY
GROUP THEOPHIL GmbH,AT,CONSUMER DISCRETIONARY
"TOV ""Kaluskyi Kobminat",UA,CONSUMER STAPLES
SVJ v dome cp.203 ve Ckyni,CZ,REAL ESTATE
"DMi TRADING SK, s.r.o.",SK,CONSUMER STAPLES
MILES DOO CITLUK,BA,INDUSTRIALS
PAPIRPRINT,RS,INDUSTRIALS
WELD Ipari és Kereskedelmi Kft.,HU,INDUSTRIALS
"BAKI AGROCENTRUM KERESKEDELMI, SZOL",HU,CONSUMER STAPLES
V M V PROD IMPEX SRL,RO,CONSUMER STAPLES
GROUP Galeks-Agro,UA,CONSUMER STAPLES
FARMAVITA DOO SARAJEVO,BA,HEALTH CARE
PETROL PARTNER LLC,UA,ENERGY
Documaster Iratkezelõ és Irattári S,HU,INDUSTRIALS
EXPRESS COURIER DOO SARAJEVO,BA,INDUSTRIALS
TD TENZO-M OOO,RU,INFORMATION TECHNOLOGY
AZIMO LIBEREC A S,CZ,NOT RELEVANT
"SVB a NP Heyrovskeho 14, BA",SK,CONSUMER DISCRETIONARY
CE-ZA-R D.O.O.,HR,INDUSTRIALS
GROUP Electroagregat,RU,INDUSTRIALS
KORPORATSIYA SKEYSS OOO,RU,INDUSTRIALS
"SVJ Zikova 15,17, Olomouc",CZ,REAL ESTATE
ICPJSC UNITED COMPANY RUSAL,RU,MATERIALS
LEGRA STAR,RO,CONSUMER STAPLES
JSC Aston,RU,CONSUMER STAPLES
ÉSZAK-FERR Kereskedelmi és Szolgált,HU,INDUSTRIALS
I S T A R SPOLECNOST S RUCENIM OMEZ,CZ,INDUSTRIALS
"SVJ Ratiborska 1147-1148,Opava",CZ,REAL ESTATE
SV 28. rijna 94,CZ,REAL ESTATE
Égenföld-Tüskevár Mezõgazdasági Kor,HU,CONSUMER STAPLES
RECYKLACNI CHRANENA S.R.O.,CZ,MATERIALS
"WWLA, Wärme-, Wasser- und Lüftungsa",AT,INDUSTRIALS
MATTONI 1873 A S,CZ,CONSUMER STAPLES
ALFEST LUCINA S R O,CZ,INDUSTRIALS
IREKS GmbH,DE,CONSUMER STAPLES
QUALITY PACK Zrt.,HU,MATERIALS
"SV Sidliste 326-327, M.Krumlov",CZ,REAL ESTATE
TOV Vovkivske,UA,CONSUMER STAPLES
TARKETT DOO BACKA PALANKA - PODRUZN,HR,INDUSTRIALS
"TZOV ""SOBOTO""",UA,INDUSTRIALS
AMAR LOGISTIC SHPK,AL,INDUSTRIALS
Burg-Vital-Hotel GmbH & Co KG,AT,CONSUMER DISCRETIONARY
CAR RENTAL Doo PODRUZNICA ,BA,INDUSTRIALS
J.T. INTERNATIONAL ROMANIA SRL,RO,CONSUMER DISCRETIONARY
NONA  SHPK,AL,CONSUMER DISCRETIONARY
Evonik Industries AG,DE,MATERIALS
AUTOMYCKA EXPRESS S R O,CZ,CONSUMER DISCRETIONARY
KOMTERM ENERGY S R O,CZ,UTILITIES
JSC Chicken Kingdom,RU,CONSUMER STAPLES
TELMAX s.r.o.,CZ,INFORMATION TECHNOLOGY
KGT DOSTAVKA OOO,RU,INDUSTRIALS
GROUP FID GRUPP,RU,CONSUMER STAPLES
C.U.N. CARGO CARRIERS SRL,RO,INDUSTRIALS
EMANUEL GAS SHPK,AL,CONSUMER DISCRETIONARY
Schotter- und Betonwerk Karl Schwar,AT,INDUSTRIALS
Synlab Bondco PLC,DE,HEALTH CARE
AVINEM INVESTMENT LIMITED,CY,FINANCIALS
Saverglass S.A.S.,FR,MATERIALS
Auto Kremer GmbH,AT,CONSUMER DISCRETIONARY
GROUP SALVEO,HR,HEALTH CARE
MODUL SERVIS OOO,RU,CONSUMER DISCRETIONARY
FEHRER BOHEMIA S R O,CZ,CONSUMER DISCRETIONARY
PROPLANTERS OOO,RU,CONSUMER DISCRETIONARY
Formula-FR LLC,RU,CONSUMER STAPLES
GLIGORA DELIKATESE D.O.O.,HR,CONSUMER STAPLES
"Hatala Peter, Ing.",SK,INDUSTRIALS
WESTCAST AB,SE,MATERIALS
Hydroholding H2 a. s.,SK,NOT RELEVANT
MÁTRAFÛTÕBER ÉPÜLETGÉPÉSZETI KFT.,HU,NOT RELEVANT
Maschinen Gailer GmbH,AT,INDUSTRIALS
MEGAPLAST PLYUS OOO,RU,MATERIALS
Mezõgabona Mezõgazdasági és Kereske,HU,NOT RELEVANT
DR.RUTTNER GYÖRGY ÜGYVÉDI IRODÁJA,HU,NOT RELEVANT
TRANSCAR NOVO MESTO D.O.O.,SI,NOT RELEVANT
EL-BAKOTA D.O.O,HR,NOT RELEVANT
JUMIC D.O.O. CERVAR-PORAT,HR,NOT RELEVANT
CHZMK,RU,MATERIALS
RL - Nordic AB,SE,FINANCIALS
Group KGAL,DE,FINANCIALS
RUGOVA E RE SH.P.K.,XK,REAL ESTATE
Cube Bau & Objektmanagement GmbH,AT,REAL ESTATE
LYCAMOBILE SRL,RO,COMMUNICATIONS
FRESH-C.O. SH.P.K.,XK,CONSUMER STAPLES
"PRINTEC SLOVAKIA, spol. s r.o.",SK,INFORMATION TECHNOLOGY
"TOV ""Ftd-ryteil""",UA,CONSUMER DISCRETIONARY
LLC AVIA CENTER YEKATERINBURG,RU,INDUSTRIALS
DOO AGROUNIJA INDIJA,RS,CONSUMER STAPLES
KDV VORONEZH OOO,RU,CONSUMER STAPLES
"Foltyn Jozef, Ing.",SK,COMMUNICATIONS
IZO-GRADENJE KONZALTING D.O.O.,HR,INDUSTRIALS
Catena Operations Limited,US,CONSUMER DISCRETIONARY
HTL SERVIS spol. s r.o.,CZ,REAL ESTATE
"Nyíregyháza, Õz köz 57-69. sz. Társ",HU,REAL ESTATE
Food-service LLC,RU,CONSUMER STAPLES
T7 SH.P.K,XK,COMMUNICATIONS
OptimaMed ambulante Gesundheitsbetr,AT,HEALTH CARE
"TOV ""TVK ""RONA-MARKET""",UA,CONSUMER DISCRETIONARY
SBD Chomutov,CZ,REAL ESTATE
"FH ""Ahrotreid - 2006""",UA,CONSUMER STAPLES
SAMARAMEDPROM AO,RU,HEALTH CARE
TRIO DOO ZVORNIK,BA,CONSUMER STAPLES
"PRO SANUS, a.s.",SK,HEALTH CARE
INNOTEX BEHEER B.V,NL,CONSUMER DISCRETIONARY
NTT Slovakia s. r. o.,SK,INFORMATION TECHNOLOGY
GORSETI OOO,RU,UTILITIES
Group Catena Media,US,CONSUMER DISCRETIONARY
"SVJ A.Sovy 1216/26, Opava",CZ,REAL ESTATE
"EBA, s.r.o.",SK,INDUSTRIALS
FOXPOST ZRT,HU,INDUSTRIALS
GROUP Emex,RU,CONSUMER DISCRETIONARY
GROUP NORDMET,RU,INDUSTRIALS
GROUP EWM,RU,INDUSTRIALS
Subgroup Purmo,FI,INDUSTRIALS
STALHAM ENGINEERING CO LIMITED,GB,CONSUMER STAPLES
GROUP EVRAZHOLDING,RU,MATERIALS
ARMOBET S R O,CZ,INDUSTRIALS
JULIA EVDOKIMOVA,RU,REAL ESTATE
"TOV ""YAKABOO RETAIL""",UA,CONSUMER DISCRETIONARY
OOO TK LEYND,RU,CONSUMER STAPLES
"Balheim Robert, Ing.",SK,CONSUMER DISCRETIONARY
ECONOMIC DOO VITEZ,BA,INDUSTRIALS
"TIPTOPGASTRO, s.r.o.",SK,CONSUMER STAPLES
LLC REDMADROBOT MSK,RU,INFORMATION TECHNOLOGY
INVESTITSIONNAYA KOMPANIYA OOO,RU,CONSUMER STAPLES
Marussia Beverages Export GmbH & Co,AT,CONSUMER STAPLES
VOLZ Filters SK s. r. o.,SK,INDUSTRIALS
TENSOGRAPH LLC,RU,MATERIALS
"BAD, s.r.o.",SK,REAL ESTATE
Energie Steiermark Service GmbH,AT,INDUSTRIALS
"Jurkovic Jozef, Ing.",SK,INFORMATION TECHNOLOGY
NTS Holding GmbH,AT,INFORMATION TECHNOLOGY
FleetPlan Korlátolt Felelõsségû Tár,HU,INDUSTRIALS
DAGROS S R O,CZ,INDUSTRIALS
Diana-Bad Errichtungs-und,AT,REAL ESTATE
KOMPANIYA ROSINKA AO,RU,CONSUMER STAPLES
Josef Sieber Gesellschaft m.b.H.,AT,INDUSTRIALS
Group Forvia,FR,CONSUMER DISCRETIONARY
KRACHER Fine Wine GmbH,AT,CONSUMER STAPLES
Spolecenstvi pro dum Machova 3,CZ,REAL ESTATE
MAMMINGER KONSERVEN GMBH CO KG,DE,CONSUMER STAPLES
Citilab Ltd.,RU,HEALTH CARE
"TRANSLOGISTICS, a. s.",SK,INDUSTRIALS
AUTOPARTUNIVEX OOO,RU,INDUSTRIALS
MING D.O.O.  BEOGRAD,RS,INDUSTRIALS
GARANTIYA-EK LLC,RU,HEALTH CARE
FUKMA A S,CZ,NOT RELEVANT
EPH FINANCING INTERNATIONAL A S,SK,UTILITIES
ASCENT Pflege Schleswig Immobilienl,DE,HEALTH CARE
DP LUX DISTRIBUTION D.O.O.,RS,CONSUMER DISCRETIONARY
PROTEHEL DOO BEOGRAD,RS,INDUSTRIALS
ABO WIND Aktiengeselischaft,DE,UTILITIES
SYSTEMBAU S P S SRL,RO,INDUSTRIALS
BENU Sportaréna Gyógyszertár Kft.,HU,CONSUMER STAPLES
"TOV ""Paradigm Grupa""",UA,COMMUNICATIONS
SPIN Magyarország Kft.,HU,REAL ESTATE
MEOPTA S.R.O.,CZ,INFORMATION TECHNOLOGY
Hilger Holz GmbH,DE,MATERIALS
AR KOZELETS LLC,UA,CONSUMER STAPLES
RL-PROMITOR Holding GmbH,AT,REAL ESTATE
LOGISTIC E VAN WIJK SRL,RO,INDUSTRIALS
Kovács Zoltán,HU,CONSUMER DISCRETIONARY
Group Prysmian,IT,INDUSTRIALS
MPZ-AGRAR D.O.O.,RS,CONSUMER STAPLES
REXEL Austria GmbH,AT,INDUSTRIALS
"AUTONOVA, s.r.o.",SK,CONSUMER DISCRETIONARY
GROUP DAMIANE,RU,CONSUMER STAPLES
MASTER FRIGO D.O.O.,RS,INDUSTRIALS
CE Glass 2007 Üvegipari és Ingatlan,HU,INDUSTRIALS
OVERKILL CROCUS S R O,CZ,INFORMATION TECHNOLOGY
Madera - Holz Faipari Kft.,HU,CONSUMER DISCRETIONARY
Hotelresort Hochkönig Betriebs GmbH,AT,CONSUMER DISCRETIONARY
HYZA a.s.,SK,CONSUMER STAPLES
DATANET SYSTEMS SRL,RO,INFORMATION TECHNOLOGY
PLANSEE Composite Materials GmbH,DE,MATERIALS
SV U Malvazinky 150,CZ,REAL ESTATE
BENU Jász-Kürt Gyógyszertár Kft.,HU,CONSUMER STAPLES
GROUP ELECTRICA,RO,UTILITIES
NESA PETROL DOO TOPOLA,RS,CONSUMER DISCRETIONARY
MIGRA Gemeinnützige,AT,REAL ESTATE
Autoklub Slovakia Assistance s.r.o.,SK,INDUSTRIALS
VERSTEIJNEN LOGISTICS Szállítmányoz,HU,INDUSTRIALS
TRAJECTORY LLC,RU,CONSUMER DISCRETIONARY
BELAMIONIX DOO BRCKO,BA,CONSUMER DISCRETIONARY
J. u. A. Frischeis Gesellschaft m.b,AT,MATERIALS
"Prokopova Elena, MUDr.",SK,HEALTH CARE
Bõhm Péter Dávid,HU,NOT RELEVANT
WEMAT GLOBAL SRL,RO,INDUSTRIALS
"SV Petra Bezruce 107,109,110",CZ,REAL ESTATE
CERVA CZ S R O,CZ,INDUSTRIALS
"TOV ""Dosvid 2002""",UA,INDUSTRIALS
"Kovac Peter, Ing.",SK,REAL ESTATE
Max Cochius GmbH,DE,MATERIALS
Sonnenkraft Energy GmbH,AT,UTILITIES
SEA ZLIN S R O,CZ,INDUSTRIALS
Terneyles,RU,MATERIALS
GROUP M.P.A. MEDICAL PARTNERS,RU,HEALTH CARE
"Penta Real Estate, s. r. o.",SK,REAL ESTATE
"SIRS - Development, a.s.",SK,REAL ESTATE
HERO RUS OOO,RU,CONSUMER STAPLES
WFP-WasserFUNpark-Errichtungs,AT,CONSUMER DISCRETIONARY
"SV Tyrsova 1328, Vsetin",CZ,REAL ESTATE
GLENWOOD MASON SUPPLY CO INC,US,INDUSTRIALS
NAVITAS DOO BEOGRAD,RS,INDUSTRIALS
2E SYSTEMS D.O.O.,HR,INFORMATION TECHNOLOGY
"TOV ""Kinchesh Oil""",UA,REAL ESTATE
Hilltown Kft.,HU,CONSUMER STAPLES
Group Unipharma,SK,HEALTH CARE
AGBES CONSTRUKSION SHPK,AL,INDUSTRIALS
BD Klaster Novy Bydzov,CZ,REAL ESTATE
"Horvath Zoltan, Ing.",SK,CONSUMER DISCRETIONARY
PELLENC s. r. o.,SK,INDUSTRIALS
ALPENEST S R O,CZ,MATERIALS
BILJNI LEKAR DOO VELIKO GRADISTE,RS,MATERIALS
STOV  CHEREPYN,UA,CONSUMER STAPLES
"TOV TORHIVEL'NA KOMPANIIA ""POLISSIA",UA,CONSUMER STAPLES
FOZZY,UA,NOT RELEVANT
DS CENTAR PROJEKTI D.O.O.,HR,NOT RELEVANT
Dyckerhoff AG,DE,NOT RELEVANT
FORMATA HOLDING B.V.,NL,NOT RELEVANT
T3OV 'RIF',UA,NOT RELEVANT
S E L M INSTALATII SRL,RO,INDUSTRIALS
CGB Silentium Oktató és Tanácsadó K,HU,CONSUMER DISCRETIONARY
SBU AZOT JOINT STOCK COMPANY,RU,NOT RELEVANT
STRUCTURAL CALCULATIONS CENTR,RU,NOT RELEVANT
KLESARSTVO CAVEDONI VL.ROBERTO CAVE,HR,NOT RELEVANT
PROSPERO VL.KATARINA CURLIN,HR,NOT RELEVANT
GROUP SPINOKS,RU,UTILITIES
SORAVIA ALBANIA SHPK,AL,NOT RELEVANT
ROSMARIN KFT.,HU,CONSUMER STAPLES
TAJMAC MTM S P A,IT,INDUSTRIALS
XIV. SZ. LAKÁSFENNTARTÓ SZÖVETKEZET,HU,FINANCIALS
GLOMAKO,RU,HEALTH CARE
TE-GANZ RÖCK ZRT.,HU,INDUSTRIALS
CHOA VOEVODA OOO,RU,INDUSTRIALS
GAE.TRA. S.P.A.,IT,NOT RELEVANT
Group EFACEC,PT,INDUSTRIALS
FOCUS (HANDAN)DUCTILE IRON PIPES,CN,INDUSTRIALS
FATESCO ÉPÍTÕANYAG Kft.-F.A.,HU,INDUSTRIALS
FCA SRBIJA,RS,CONSUMER DISCRETIONARY
MONTANA MG TRANSPORT SRL,RO,CONSUMER DISCRETIONARY
BUDENZ-IMMO Ingatlanhasznosító Kft.,HU,REAL ESTATE
FARMA SUMAVA S R O,CZ,CONSUMER STAPLES
FIEGE EASTERN EUROPE GMBH,DE,INDUSTRIALS
D ULAGANJA D.O.O.,HR,CONSUMER DISCRETIONARY
KOMFOR KLIMA D.O.O.,HR,INDUSTRIALS
UNLIMITED D.O.O.,HR,CONSUMER DISCRETIONARY
APPAREL'-KARGO OOO,RU,INDUSTRIALS
PACO INTERNATIONAL SRL BRAILA,RO,NOT RELEVANT
COGRIROM SRL,RO,CONSUMER STAPLES
IMP KLIMA MONTAZA DOO SARAJEVO,BA,INDUSTRIALS
"N.T.SH.T.P. ""GOGAJ AG""",XK,MATERIALS
"Komárom, Csillag Ltp. 22-24. Társas",HU,FINANCIALS
"""JA! NATÜRLICH"" Naturprodukte",AT,CONSUMER STAPLES
LIEGL & DACHSER ASL Hungary Kft.,HU,INDUSTRIALS
AUTUS TELECOM DOO SARAJEVO,BA,COMMUNICATIONS
FAURECIA WALBRZYCH S A,PL,CONSUMER DISCRETIONARY
"PrAT""Ptakhokombinat ""Bershads'kii""",UA,CONSUMER STAPLES
SUPRAPHON A S,CZ,CONSUMER DISCRETIONARY
GROUP SoftBalans,RU,INFORMATION TECHNOLOGY
ARIEYL' METALL,RU,MATERIALS
JOINT-STOCK COMPANY TRANSNEFT-SIB,RU,NOT RELEVANT
SIMEK KAREL,CZ,NOT RELEVANT
PAT KIROVOHRADSKYI KhLIBOZAVOD,UA,NOT RELEVANT
SUBGROUP FEDERAL MOGUL LLC CONSOLID,US,CONSUMER DISCRETIONARY
TOP METROLOGY SRL,RO,INDUSTRIALS
UGOLNAYA KOMPANIYA RAZREZ STEPNOI,RU,ENERGY
ANTALIS INTERNATIONAL,FR,MATERIALS
TELE2 RUSSIA HOLDING AB,SE,COMMUNICATIONS
STALRESURS OOO,RU,MATERIALS
STD Moscow AO,RU,REAL ESTATE
