name,industry,frequency
AUTO1 Group,CONSUMER DISCRETIONARY,3
AUTO1 Group Operations,CONSUMER DISCRETIONARY,3
AUTOMOBIL-VERKAUFS-GESELLSCHA,CONSUMER DISCRETIONARY,3
AUTOMOTIVE PRODUCTS,CONSUMER DISCRETIONARY,3
AUTOMOTIVE SYSTEMS,CONSUMER DISCRETIONARY,3
AVAG,CONSUMER DISCRETIONARY,3
AVAG HOLDING,CONSUMER DISCRETIONARY,3
AVENGA GERMANY,INFORMATION TECHNOLOGY,3
AVENGA INTERNATIONAL,INFORMATION TECHNOLOGY,3
AVENGA INTERNATIONAL HOLDING,INFORMATION TECHNOLOGY,3
AVL Deutschland,CONSUMER DISCRETIONARY,3
AVO CARBON GERMANY,INDUSTRIALS,3
AWECO,NOT RELEVANT,3
AWECO APPLIANCE SYSTEMS,NOT RELEVANT,3
AWO Region Gießen soziale Dienste g,HEALTH CARE,3
Aachen,REAL ESTATE,3
Aachen II,REAL ESTATE,3
Abade Immobilienleasing,FINANCIALS,3
Abade Immobilienleasing GmbH &,FINANCIALS,3
Abatec Mikrosysteme,INFORMATION TECHNOLOGY,3
Abrawiza Immobilienleasing,FINANCIALS,3
Abrawiza Immobilienleasing GmbH & C,FINANCIALS,3
Abura Immobilienleasing,FINANCIALS,3
Abura Immobilienleasing GmbH &,FINANCIALS,3
Aceso,HEALTH CARE,3
Aceso Holding 4 S.a,HEALTH CARE,3
Achat Immobilien GmbH & Co. Projekt,FINANCIALS,3
Achat Immobilienleasing,FINANCIALS,3
AcquiCo Burgerking,CONSUMER DISCRETIONARY,3
Acridin Immobilienleasing,FINANCIALS,3
Acridin Immobilienleasing GmbH & Co,FINANCIALS,3
Active Plus Logistics,INDUSTRIALS,3
Adagium Immobilienleasing,REAL ESTATE,3
Adamas Immobilienleasing,FINANCIALS,3
Adamas Immobilienleasing GmbH &,FINANCIALS,3
Adcuram,INDUSTRIALS,3
Adevinta,CONSUMER DISCRETIONARY,3
Adevinta ASA,CONSUMER DISCRETIONARY,3
Adevinta Finance AS,CONSUMER DISCRETIONARY,3
Adevinta Oak Holdings B.V.,CONSUMER DISCRETIONARY,3
Adidas,CONSUMER DISCRETIONARY,3
Adler Group,REAL ESTATE,3
Adler Group S.A.,REAL ESTATE,3
Admiral Bidco,INDUSTRIALS,3
Admitad,CONSUMER DISCRETIONARY,3
Adorant Immobilienleasing,REAL ESTATE,3
Adorant Immobilienleasing GmbH &,REAL ESTATE,3
Ados Immobilienleasing,FINANCIALS,3
Adrett Immobilienleasing,FINANCIALS,3
Adrittura Immobilienleasing,REAL ESTATE,3
Adrittura Immobilienleasing GmbH &,REAL ESTATE,3
Adufe Immobilienleasing,FINANCIALS,3
Advanced Industries Packaging,MATERIALS,3
Aerospace Germany,MATERIALS,3
Aerzener Maschinenfabrik,INDUSTRIALS,6
Agamemnon Immobilienleasing,FINANCIALS,3
Agamemnon Immobilienleasing GmbH &,FINANCIALS,3
Agravis,CONSUMER STAPLES,3
Agravis Raiffeisen,CONSUMER STAPLES,3
Ahead,CONSUMER STAPLES,3
Air4 Lufttransport GmH & Co.,CONSUMER DISCRETIONARY,3
Airbus Operations,INDUSTRIALS,3
Aircraft Asset Management AAM,NOT RELEVANT,3
Aktien-Gesellschaft der Dillinger H,MATERIALS,3
Alcatel-Lucent Network,INFORMATION TECHNOLOGY,3
Alecto,INFORMATION TECHNOLOGY,3
Alfatec,INFORMATION TECHNOLOGY,3
Alfred K¿rcher GmbH &,CONSUMER DISCRETIONARY,3
Alfred Ritter GmbH & Co,CONSUMER STAPLES,3
Alite,INDUSTRIALS,3
All for One,INFORMATION TECHNOLOGY,3
All for One Group,INFORMATION TECHNOLOGY,3
Allgäu Reha Immobilienleasing,HEALTH CARE,3
Alliance Healthcare Deutschland,HEALTH CARE,3
Almatec,MATERIALS,3
Aloform,MATERIALS,3
Alpha Metals ist ein Unternehm,INDUSTRIALS,3
Alpha U.S. II Limited,MATERIALS,3
Alpine Bau Deutschland,INDUSTRIALS,3
Alpine Metal Tech Gega,INDUSTRIALS,3
Alpla-Werke Lehner GmbH & Co,MATERIALS,3
Alstria,REAL ESTATE,3
Alufe,INDUSTRIALS,3
Aluminium Rheinfelden,CONSUMER DISCRETIONARY,3
Aluminium Rheinfelden Alloys,CONSUMER DISCRETIONARY,3
Aluminium Rheinfelden Semis,MATERIALS,3
