name,industry,frequency
ALBO DOO BANJA,CONSUMER DISCRETIONARY,4
ALCON PHARMACEUTICALS BH,INDUSTRIALS,4
ALCOOP DOO,CONSUMER DISCRETIONARY,4
ALDA,INFORMATION TECHNOLOGY,4
ALDI UDRUZE ZA LOKAL RAZVO INICIJAT,NOT RELEVANT,4
ALEA DR KANDIC ZDRAVSTVENA USTANOVA,HEALTH CARE,4
ALEKSA DOO,CONSUMER STAPLES,4
ALEKSA DOO BIJELJINA PJ BR,CONSUMER STAPLES,4
ALEKSA DOO BIJELJINA PJ KIOS,CONSUMER STAPLES,4
ALEKSA DOO PJ BR 16 BIJELJI,CONSUMER STAPLES,4
ALEKSA DOO PJ BR 17 BIJELJIN,CONSUMER STAPLES,4
ALEKSA DOO PJ KIOSCI ALEKSA,CONSUMER STAPLES,4
ALEKSANDRIJA DOO ZVORNIK,NOT RELEVANT,4
ALEKSIC COMMERCE DOO,CONSUMER STAPLES,4
ALF OM DOO,INDUSTRIALS,4
ALFA 90 DOO ZIVINICE,MATERIALS,4
ALFA DOO,CONSUMER DISCRETIONARY,4
ALFI DOO,INDUSTRIALS,4
ALGOJA DOO,MATERIALS,4
ALINEA SN DOO,CONSUMER DISCRETIONARY,4
ALJIC,CONSUMER DISCRETIONARY,4
ALKALOID DOO,CONSUMER DISCRETIONARY,4
ALKIBIA DOO,CONSUMER DISCRETIONARY,4
ALL TIME DOO,INDUSTRIALS,4
ALLEGRO SHOES DOO BROD,CONSUMER DISCRETIONARY,4
ALMA APOTEKA PRIV ZDRAVSTVENA USTAN,CONSUMER STAPLES,4
ALMY,CONSUMER DISCRETIONARY,4
ALMY DOO,CONSUMER DISCRETIONARY,4
ALMY GRADNJA DOO,INDUSTRIALS,4
ALMY TRANSPORT DOO,INDUSTRIALS,4
ALPAMM DOO,INDUSTRIALS,4
ALPINE D.O.O.,INDUSTRIALS,4
ALPOS TVORNICA CIJEVI AD PRNJAVOR,MATERIALS,4
ALSEL,INDUSTRIALS,4
ALSEL TRADE,INDUSTRIALS,4
ALTERNATIVA DOO,MATERIALS,4
ALTMAN DOO,CONSUMER DISCRETIONARY,4
ALTTEATAR UDRUZENJE DRAMSKIH UMJETN,INDUSTRIALS,4
ALU CO DOO,INDUSTRIALS,4
ALUFIX DOO,CONSUMER DISCRETIONARY,4
ALUKOENIGSTAHL DOO,INDUSTRIALS,4
ALUMINA,MATERIALS,4
ALUMINIJ DD,MATERIALS,4
ALUMNI ASOCIJ CENTRA ZA INTERDIS PO,INDUSTRIALS,4
ALUMNISTA VIJECA EVROPE,INDUSTRIALS,4
ALUPLAST BH DOO,INDUSTRIALS,4
ALUSIL DOO Zvornik,MATERIALS,4
AM MEDJUGORJE DOO BANJA,INDUSTRIALS,4
AMADEUS JEANS DOO,CONSUMER DISCRETIONARY,4
AMADINT DOO,INDUSTRIALS,4
AMBALAZNI SERVIS,MATERIALS,4
AMCHAM BIH,INDUSTRIALS,4
AMD SCONTO BRCKO DOO,MATERIALS,4
AME DOO BREZA,MATERIALS,4
AMELSEH DOO VELIKA,INDUSTRIALS,4
AMERICKO BOSANSKA FONDACIJA ZA KULT,NOT RELEVANT,4
AMKO KOMERC,CONSUMER STAPLES,4
AMKO KOMERC DOO,CONSUMER STAPLES,4
AMONIQ DOO,CONSUMER DISCRETIONARY,4
AMOS GRAF DOO,INDUSTRIALS,4
AMUS ASOCIJ KOMPOZITORA MUZICKIH ST,NOT RELEVANT,4
ANALITIKA CENTAR ZA DRUS ISTRAZIVAN,NOT RELEVANT,4
ANALITIKA DOO,INDUSTRIALS,4
ANCOMM DOO,CONSUMER STAPLES,4
ANDALUCIA HOSPITALITY DOO,CONSUMER DISCRETIONARY,4
ANDREA & GIOVANNI DOO,CONSUMER STAPLES,4
ANER TRANS DOO,INDUSTRIALS,4
ANGROCENTAR AD JEZERO,NOT RELEVANT,4
ANIMUS BD,CONSUMER DISCRETIONARY,4
ANS DRIVE,INDUSTRIALS,4
ANS DRIVE DOO,INDUSTRIALS,4
ANTEP DOO,CONSUMER DISCRETIONARY,4
ANTIKOROZIJA DOO GACKO,INDUSTRIALS,4
ANTONIO COMMERCE DOO,CONSUMER DISCRETIONARY,4
ANTONIO TRADE DOO,CONSUMER DISCRETIONARY,4
ANTUNOVIC,INDUSTRIALS,4
ANTUNOVIC AGS DOO,INDUSTRIALS,4
ANTUNOVIC DOO,CONSUMER DISCRETIONARY,4
AO LEKO DOO,CONSUMER DISCRETIONARY,4
APEIRON PANEVROPSKI UNIVERZITET BAN,CONSUMER DISCRETIONARY,4
APIF AD BANJA,INFORMATION TECHNOLOGY,4
APOMEDICAL DOO,HEALTH CARE,4
APOTEKE SARAJEVO JAVNA USTANOVA SAR,CONSUMER STAPLES,4
APS BH DOO,FINANCIALS,4
APS FACADE DOO,INDUSTRIALS,4
AQUA Q SISTEMS DOO,INDUSTRIALS,4
AQUA TIM DISTRIBUCIJA DOO,CONSUMER STAPLES,4
AQUAREUMAL DOO,CONSUMER DISCRETIONARY,4
ARAGOSTA INVEST DOO BANJA,INDUSTRIALS,4
ARCELORMITTAL DOO,MATERIALS,4
ARCHIGREEN DOO,MATERIALS,4
AREL DOO,INDUSTRIALS,4
AREX,CONSUMER DISCRETIONARY,4
AREX DOO,CONSUMER DISCRETIONARY,4
ARGO,NOT RELEVANT,4
ARIZONA KOMPANI,CONSUMER STAPLES,4
ARKADA DOO LUKAVAC,NOT RELEVANT,4
ARKE 2000 DOO BANJA,MATERIALS,4
ARMAKO DOO,INDUSTRIALS,4
ARMANI TRADE DOO ZEPCE,CONSUMER STAPLES,4
ART,INDUSTRIALS,4
ART SERVIS DOO,CONSUMER DISCRETIONARY,4
ARTISAN DOO,CONSUMER DISCRETIONARY,4
AS,CONSUMER STAPLES,4
AS DOO,CONSUMER STAPLES,4
AS HOLDING DOO JELAH,INDUSTRIALS,4
AS LOGISTICS DOO,INDUSTRIALS,4
AS SPED DOO BOSANSKI,NOT RELEVANT,4
ASA,CONSUMER DISCRETIONARY,4
ASA - PREVENT,CONSUMER DISCRETIONARY,4
ASA ASSET MENAGEMENT DOO,FINANCIALS,4
ASA KAPITAL DOO,NOT RELEVANT,4
ASA USLUGE DOO,NOT RELEVANT,4
ASBIS,INFORMATION TECHNOLOGY,4
ASD BP DOO,NOT RELEVANT,4
ASD RM DOO PROZOR RAMA,CONSUMER DISCRETIONARY,4
ASEE DOO,INFORMATION TECHNOLOGY,4
ASFALT,NOT RELEVANT,4
ASFALT DOO,INDUSTRIALS,4
ASFALTGRADNJA DOO,INDUSTRIALS,4
ASTRA DOO,CONSUMER DISCRETIONARY,4
ASTRAZENECA B-H,HEALTH CARE,4
AT KERAMETAL DOO,CONSUMER DISCRETIONARY,4
AT STORE DOO,INFORMATION TECHNOLOGY,4
ATACO DOO,CONSUMER STAPLES,4
ATAL GROUP DOO,CONSUMER STAPLES,4
ATALIAN GLOBAL SERVICES BH DOO,INDUSTRIALS,4
ATASE DOO,CONSUMER DISCRETIONARY,4
ATINA TRADE DOO BANJA,NOT RELEVANT,4
ATLANTBH DOO,INFORMATION TECHNOLOGY,4
ATLANTIC ARGETA DOO,CONSUMER STAPLES,4
ATLANTIC GRAND DOO,CONSUMER STAPLES,4
ATLANTIK BB DOO BANJA,INDUSTRIALS,4
ATLAS TRADING DOO,CONSUMER STAPLES,4
ATLETSKI SAVEZ BIH,NOT RELEVANT,4
ATRAKTIV DOO,INDUSTRIALS,4
ATT DOO GORNJI VAKUF USKOPLJE,INDUSTRIALS,4
AUDAX DOO,CONSUMER DISCRETIONARY,4
AUREUS DOO GORNJ VAKUF USKOPLJE,MATERIALS,4
AURO DOO,NOT RELEVANT,4
AUROGMM DOO CITLUK MEDJUGORJE,CONSUMER STAPLES,4
AURUS GRUPA DOO,REAL ESTATE,4
AUSTABILITY DOO,INDUSTRIALS,4
AUSTRONET DOO,CONSUMER DISCRETIONARY,4
AUTO BH,CONSUMER DISCRETIONARY,4
AUTO CENTAR CAVKIC DOO,NOT RELEVANT,4
AUTO DOO,CONSUMER DISCRETIONARY,4
AUTO MOTO SAVEZ REPUBLIKE SRPS,NOT RELEVANT,4
AUTO MT,INDUSTRIALS,4
AUTO PRIMUS GRUPA DOO,INDUSTRIALS,4
AUTOAGENT DOO,NOT RELEVANT,4
AUTOBAT DOO,CONSUMER DISCRETIONARY,4
AUTOCENTAR BH DOO,INDUSTRIALS,4
AUTOCENTAR DOO SIROKI,NOT RELEVANT,4
AUTOCENTAR MERKUR DOO BANJA,CONSUMER DISCRETIONARY,4
AUTOCENTAR NESKOVIC DOO,CONSUMER DISCRETIONARY,4
AUTOCESTE F BIH DOO,INDUSTRIALS,4
AUTOCOMMERCE DOO,NOT RELEVANT,4
AUTOKUCA LIJANOVICI DOO SIROKI BRIJ,NOT RELEVANT,4
AUTOMATIC SERVIS,CONSUMER DISCRETIONARY,4
AUTOMOTIVE DOO,CONSUMER DISCRETIONARY,4
AUTOPUTEVI RS DOO BANJA,INDUSTRIALS,4
AUTORAD DOO,CONSUMER DISCRETIONARY,4
AUTOSERVIS I DIJELOVI BL DOO,CONSUMER DISCRETIONARY,4
AUTUS TELECOM DOO,COMMUNICATIONS,4
AVA COM GROUP DOO,INFORMATION TECHNOLOGY,4
AVAKS DOO,CONSUMER STAPLES,4
AVAZ,CONSUMER DISCRETIONARY,8
AVAZ ROTO PRESS DOO,COMMUNICATIONS,4
AVIS DOO,INDUSTRIALS,4
AVON COSMETICS BIH DOO,CONSUMER DISCRETIONARY,4
AVTERA BH DOO,INFORMATION TECHNOLOGY,4
AWG DOO BANJA,INDUSTRIALS,4
AWG REAL ESTATE NEKRETNINE DOO SARA,REAL ESTATE,4
AX DOO,CONSUMER DISCRETIONARY,4
AX SOLING DOO,INDUSTRIALS,4
AX TROPIC DOO BANJA,CONSUMER DISCRETIONARY,4
AZEL,CONSUMER DISCRETIONARY,4
AZEL DOO,CONSUMER DISCRETIONARY,4
AZVIRT LLC PODRUZNICA,INDUSTRIALS,4
Arivera Fruit DOO,CONSUMER STAPLES,4
Austrotherm BH d.o.o.,INDUSTRIALS,4
Azvrit Gradnja doo,INDUSTRIALS,4
B KRUG DOO,INDUSTRIALS,4
