name,industry
OS PETROL DOO SREBRENIK,NOT RELEVANT
TERMIK DOO BANJA LUKA,INDUSTRIALS
TELEDIGITAL DD SARAJEVO,COMMUNICATIONS
Unis Fabrika Cijevi a.d. Derventa,MATERIALS
SIDZIS 5B DOO SARAJEVO,CONSUMER STAPLES
BAKIJE UG POKOPNO DRUSTVO SARAJEVO,NOT RELEVANT
"""KORLEA"" D.O.O.",UTILITIES
GROUP MG MIND,INDUSTRIALS
RAFINERIJA NAFTE AD BROD,ENERGY
NATURA VITA  DOO TESLIC,CONSUMER STAPLES
SECTOR ADS DOO,INFORMATION TECHNOLOGY
BOSPOL DOO SARAJEVO,CONSUMER DISCRETIONARY
BEMIS DOO LUKAVAC,CONSUMER DISCRETIONARY
NN COMPANY DOO ZENICA,MATERIALS
A & D DOO SARAJEVO ,INDUSTRIALS
TEHNOGRAD COMPANY DOO TUZLA,INDUSTRIALS
NOVA BH D.O.O. SARAJEVO ,COMMUNICATIONS
Q DRIVE D.O.O. SARAJEVO       ,INDUSTRIALS
GROUP GALAX,MATERIALS
MICOM BH DOO SARAJEVO,INFORMATION TECHNOLOGY
CINEPLEXX BH DOO,COMMUNICATIONS
HS Baukop doo Gracanica,INDUSTRIALS
CARLSBERG BH DOO SARAJEVO,CONSUMER STAPLES
ANCOMM DOO TUZLA,CONSUMER STAPLES
METALNO DD ZENICA,INDUSTRIALS
HADZIC GRADNJA DOO SARAJEVO,INDUSTRIALS
AKADEMIJA LIKOVNIH UMJETNOSTI,CONSUMER DISCRETIONARY
BINGO DOO TUZLA PJ MJENJACNICA UGLJ,CONSUMER STAPLES
DENIDA PZU APOTEKA SARAJEVO,CONSUMER STAPLES
METALKA TRADE DOO SARAJEVO,INDUSTRIALS
BELAMIONIX DOO PJ BR 27 BANOVICI,CONSUMER DISCRETIONARY
INTER DOO TESANJ,INDUSTRIALS
SLUZBA ZA ZAPOSLJAVANJE KANTONA SAR,NOT RELEVANT
KAMENOLOM KARABEGOVAC DOO DOBOJ,MATERIALS
KOVAN ZR VL KARALIC SAID GRACANICA,INDUSTRIALS
PRODA MONT DOO DOBOJ,INDUSTRIALS
MJES HOLD ERS MP AD TREBINJE ZP RIT,UTILITIES
JP ONSA DOO SARAJEVO,REAL ESTATE
365 BTL DOO BANJA LUKA,COMMUNICATIONS
TERMOMATIK DOO ZENICA,INDUSTRIALS
KUEHNE NAGEL DOO SARAJEVO,INDUSTRIALS
EKUPI DOO VITEZ,CONSUMER DISCRETIONARY
UNIS TELEKOMUNIKACIJE DD MOSTAR,INFORMATION TECHNOLOGY
KING FRUIT DOO BRCKO DISTRIKT BIH,CONSUMER STAPLES
PID DOO MOSTAR,NOT RELEVANT
DOMAVIJA DOO SARAJEVO,CONSUMER DISCRETIONARY
EXON DOO KISELJAK,CONSUMER DISCRETIONARY
TVORNICA OPEKE DOO SARAJEVO,MATERIALS
DOM ZDRAVLJA ZU CAZIN,HEALTH CARE
RUDNIK MRKOG UGLJA BREZA,NOT RELEVANT
PRIMAT DOO SARAJEVO,CONSUMER DISCRETIONARY
AKADEMIJA 387 DOO SARAJEVO,CONSUMER DISCRETIONARY
BAJRA DOO TRAVNIK,CONSUMER STAPLES
ARIZONA KOMPANI DOO,CONSUMER STAPLES
MARKETAUTO DOO LAKTASI,CONSUMER DISCRETIONARY
ZOKI SP MILORAD LUKIC BANJALUKA,CONSUMER DISCRETIONARY
GAMA S WOOD DOO BIJELJINA,INDUSTRIALS
POLET KOMERC DOO DERVENTA,CONSUMER DISCRETIONARY
KANTONALNA BOLNICA ZU DR I  LJUBIJA,HEALTH CARE
DUKAT DOO BANJA LUKA,CONSUMER STAPLES
EL TARIK OIL BENZINSKE STANICE DOO,CONSUMER DISCRETIONARY
SUBGROUP SEC ONE GROUP DOO,CONSUMER DISCRETIONARY
MACOT SOL DOO MOSTAR,MATERIALS
ELGRAD DOO,NOT RELEVANT
BH PETROL DOO,NOT RELEVANT
AMERICKO BOSANSKA FONDACIJA ZA KULT,NOT RELEVANT
SUDO LUKA DOO VELIKA KLADUSA,CONSUMER DISCRETIONARY
MLJVS UDRUZENJE VISOKO,NOT RELEVANT
VS TREND  DOO BIHAC,INDUSTRIALS
INTERMOBIL DOO BIHAC,CONSUMER DISCRETIONARY
ORVAS DOO ILIDZA,FINANCIALS
SEMBERSKA INDUSTR MESA BIOSIMES DOO,CONSUMER STAPLES
ALUMNI ASOCIJ CENTRA ZA INTERDIS PO,INDUSTRIALS
RADIUS DOO GRACANICA,INDUSTRIALS
DEJANAC PROMET DOO GRADISKA,CONSUMER DISCRETIONARY
ERNST & YOUNG DOO SARAJEVO,INDUSTRIALS
A D S KOMERC DOO KAKANJ,CONSUMER STAPLES
EMIT DOO GRACANICA,INDUSTRIALS
GRAEWE TADIV DOO KONJIC,INDUSTRIALS
DIORIT DOO SARAJEVO,MATERIALS
VP Company doo,UTILITIES
IBRAHIM MANGAFIC,CONSUMER DISCRETIONARY
GROUP MEDIMPEX,HEALTH CARE
TRAVNIK NOGOMETNI KLUB TRAVNIK,NOT RELEVANT
Mersteel doo Sarajevo,MATERIALS
JZU UNIVERZITET. BOLNICA FOCA,HEALTH CARE
EUROFARM CENTAR APOTEKA PZU SARAJEV,CONSUMER DISCRETIONARY
REFLEX DOO GRADISKA,CONSUMER DISCRETIONARY
Pmp jelsingrad ad gradiska,INDUSTRIALS
GROUP ALMY,CONSUMER DISCRETIONARY
MTH JOZICI DOO SIROKI BRIJEG,CONSUMER STAPLES
KOMUNALIJE JKUP DOO VELIKA KLADUSA,INDUSTRIALS
BRKIC PETROL II DOO ZENICA,CONSUMER DISCRETIONARY
PORODICA I DIJETE UDRUZENJE,INDUSTRIALS
PLAY OFF UDRUZENJE ZENSKI KOSARKASK,CONSUMER DISCRETIONARY
JP EP BIH DD ZD RMU DJURDJEVIK DOO,ENERGY
MARMEX SHOP DOO SARAJEVO,MATERIALS
ALUSIL DOO Zvornik,MATERIALS
VUKOVIC INTERNATIONAL DOO BIHAC,REAL ESTATE
JYSK DOO SARAJEVO,CONSUMER DISCRETIONARY
ZU APOTEKE B PHARM NOVI GRAD,CONSUMER STAPLES
EOS MATRIX DOO EOS MATRIX LTD SARAJ,INDUSTRIALS
COMMERCE ENGINEERING DOO MOSTAR,INFORMATION TECHNOLOGY
TEKO MINING LAPISNICA DOO IST SARAJ,MATERIALS
MI TRIVAS DOO PRNJAVOR,CONSUMER STAPLES
JP HRVATE TELEKOM DD MOSTAR PODRUZ,CONSUMER DISCRETIONARY
ATLANTIC ARGETA DOO SARAJEVO,CONSUMER STAPLES
